numunique,time
50,0.161073
14,0.066044
9,0.048802
15,0.067066
18,0.072696
23,0.091832
19,0.077585
7,0.045606
11,0.051466
6,0.044323
5,0.041518
9,0.049824
9,0.044704
7,0.045505
9,0.051246
8,0.050074
16,0.067497
9,0.051617
7,0.046657
9,0.051637
5,0.041318
13,0.05305
9,0.051427
9,0.056045
21,0.066194
6,0.043401
9,0.046888
7,0.046938
13,0.053801
1,0.030057
8,0.049262
1,0.030587
4,0.038482
4,0.03741
1,0.030607
6,0.041588
17,0.0586
20,0.061626
4,0.037962
22,0.067516
24,0.068979
4,0.039664
5,0.039925
9,0.044223
6,0.043542
3,0.036669
4,0.035216
23,0.073327
15,0.062378
2,0.031739
19,0.063138
8,0.044123
2,0.033232
21,0.061395
2,0.03222
6,0.039634
3,0.034524
17,0.059762
7,0.047579
6,0.04791
11,0.055014
8,0.046337
9,0.048361
9,0.049433
6,0.041929
10,0.05346
7,0.046066
7,0.045055
12,0.057639
10,0.055855
18,0.077827
22,0.089969
32,0.116749
22,0.08502
30,0.167384
25,0.103805
40,0.129223
94,0.26094
48,0.153618
56,0.171643
58,0.189957
94,0.270558
97,0.279696
116,0.325481
103,0.291948
129,0.348594
122,0.315302
166,0.430398
63,0.188313
55,0.166673
57,0.174387
61,0.183624
23,0.088717
82,0.230593
104,0.284864
135,0.357832
70,0.198543
142,0.371357
72,0.95311
59,0.177834
41,0.132038
43,0.139312
22,0.084508
31,0.105708
26,0.099227
26,0.094958
26,0.093576
29,0.101039
35,0.117741
35,0.220854
47,0.148869
19,0.07442
38,0.124924
18,0.072967
10,0.054342
7,0.044814
28,0.097923
7,0.045255
13,0.061054
23,0.086373
27,0.097453
24,0.075121
7,0.04779
6,0.043552
7,0.044844
11,0.056015
23,0.087945
5,0.039634
5,0.039534
16,0.067556
8,0.04778
12,0.05822
8,0.049072
19,0.07985
15,0.067427
18,0.078126
19,0.075262
8,0.051206
81,0.223009
149,0.386475
37,0.117401
77,0.221055
66,0.191079
34,0.11199
102,0.287791
50,0.154931
18,0.073248
43,0.135264
47,0.146405
37,0.117521
13,0.062707
61,0.182473
27,0.092163
69,0.19666
111,0.304522
130,0.345669
60,0.176181
80,0.226947
91,0.259016
103,0.281519
74,0.221115
61,0.182473
103,0.285155
74,0.21858
37,0.122209
47,0.143399
50,0.150252
116,0.316184
48,0.151785
99,0.279534
24,0.089909
26,0.092634
39,0.12818
23,0.087915
9,0.051006
11,0.055354
13,0.050946
15,0.066154
17,0.061506
13,0.065874
6,0.04233
28,0.097613
16,0.065743
14,0.06386
38,0.121187
18,0.073438
6,0.043552
10,0.05345
32,0.10632
21,0.081182
23,0.083126
17,0.06913
19,0.075362
18,0.070984
15,0.065493
7,0.044474
47,0.147287
7,0.049402
40,0.130866
10,0.053892
16,0.067838
8,0.047208
16,0.068088
6,0.042661
12,0.059601
5,0.039774
1,0.029535
6,0.042349
11,0.055965
16,0.059051
23,0.068439
8,0.046688
1,0.030988
4,0.03705
8,0.048872
8,0.048721
10,0.044042
19,0.073298
7,0.045075
14,0.060744
9,0.051326
12,0.057908
8,0.050225
24,0.090229
13,0.059141
313,0.770707
105,0.293722
124,0.3302
45,0.147206
78,0.223951
77,0.225143
68,0.192752
12,0.060033
62,0.185519
40,0.129573
12,0.057278
4,0.039254
36,0.118162
13,0.061706
16,0.06893
56,0.163627
234,0.60184
157,0.421922
