numunique,time
203,0.619553
295,0.874211
197,0.604475
148,0.456948
231,0.694384
298,0.890212
226,0.689525
118,0.379061
230,0.695866
146,0.45819
107,0.345999
64,0.220945
104,0.329689
138,0.437531
106,0.337554
164,0.496081
266,0.789823
194,0.589737
265,0.77787
249,0.756561
374,1.08285
162,0.505078
192,0.583114
439,1.26267
185,0.560472
222,0.678013
209,0.624222
176,0.532409
183,0.563719
146,0.449745
162,0.493066
233,0.699944
281,0.834136
288,0.796526
234,0.654158
87,0.266731
110,0.336372
243,0.889119
145,0.420189
91,0.281308
250,0.705255
127,0.371588
133,0.388158
179,0.502464
206,0.581532
140,0.402666
138,0.406663
162,0.461587
266,0.737064
140,0.407765
81,0.31937
139,0.414538
92,0.279003
125,0.384602
113,0.337494
81,0.2449
40,0.136867
40,0.135234
65,0.200927
56,0.177563
55,0.178235
45,0.150362
61,0.192792
71,0.214373
98,0.279705
85,0.248857
69,0.205075
65,0.195336
81,0.241463
66,0.204063
55,0.173295
60,0.188614
88,0.260699
54,0.17588
44,0.14404
57,0.180589
62,0.191379
33,0.116418
60,0.18656
42,0.141215
32,0.119976
42,0.143068
54,0.172213
24,0.094738
17,0.072586
26,0.098334
28,0.185689
21,0.084929
20,0.081653
15,0.068569
31,0.11192
24,0.091322
36,0.121428
61,0.188925
74,0.22368
76,0.229571
51,0.161463
73,0.213571
43,0.137178
29,0.102342
21,0.084098
34,0.120236
18,0.077736
18,0.078367
19,0.080351
19,0.08017
18,0.075712
47,0.147237
27,0.100469
45,0.147186
67,0.206568
78,0.235031
111,0.309622
76,0.228679
87,0.254858
70,0.212449
140,0.391946
113,0.32486
116,0.331773
195,0.5274
90,0.264947
134,0.379042
170,0.472557
151,0.4317
246,0.660841
142,0.398438
157,0.440497
101,0.296998
118,0.345198
115,0.332605
115,0.326332
104,0.295455
104,0.304782
91,0.267392
44,0.146025
78,0.235602
120,0.346741
67,0.208571
44,0.146325
104,0.296447
38,0.130785
27,0.099758
34,0.226735
44,0.148409
13,0.063419
19,0.080431
21,0.085321
26,0.099106
20,0.08499
25,0.096902
62,0.195928
44,0.148358
66,0.206788
41,0.138099
34,0.119345
72,0.22357
54,0.173647
53,0.172635
51,0.164589
86,0.260679
61,0.192812
73,0.217188
22,0.087725
31,0.118242
30,0.11153
27,0.10154
20,0.085711
12,0.061806
18,0.078328
16,0.073448
15,0.071193
17,0.073228
28,0.105759
43,0.144752
23,0.091232
21,0.082395
20,0.079619
20,0.080391
16,0.071014
18,0.078206
20,0.083887
9,0.051046
7,0.045746
11,0.053621
10,0.054302
6,0.044093
9,0.05311
12,0.065353
6,0.043723
6,0.043041
20,0.08019
14,0.072446
4,0.040355
7,0.044924
9,0.051907
12,0.060484
13,0.064832
3,0.035266
5,0.0374
10,0.048111
1,0.030127
1,0.030307
2,0.03208
3,0.035697
20,0.067386
2,0.032662
1,0.029606
7,0.041468
6,0.040967
1,0.031028
12,0.048451
9,0.045295
14,0.054923
10,0.045916
24,0.068789
2,0.032681
4,0.035877
2,0.03203
6,0.038773
4,0.035467
2,0.032832
1,0.029966
4,0.035857
3,0.034796
2,0.03173
43,0.136316
11,0.054142
31,0.10634
12,0.060253
7,0.045576
5,0.040086
6,0.043171
7,0.046307
6,0.043121
1,0.030197
17,0.072166
32,0.112581
10,0.056637
19,0.081844
28,0.101922
14,0.064621
54,0.171011
26,0.097724
15,0.067847
11,0.05851
12,0.061305
16,0.070863
10,0.053901
11,0.059622
13,0.064081
31,0.108484
15,0.067005
22,0.087945
27,0.100929
18,0.063018
13,0.065613
1,0.030988
13,0.061986
3,0.035006
5,0.037771
5,0.037922
4,0.03724
6,0.04284
5,0.040976
7,0.045064
6,0.043351
7,0.045325
9,0.050454
7,0.045155
6,0.044453
17,0.072396
6,0.043101
13,0.063148
27,0.099206
12,0.060784
37,0.123552
12,0.060013
10,0.052939
18,0.073709
11,0.056627
14,0.064381
22,0.085009
12,0.057658
9,0.051377
10,0.056095
34,0.112731
44,0.135434
52,0.156083
30,0.108664
17,0.072185
10,0.057578
14,0.053891
8,0.046817
1,0.030046
4,0.039444
10,0.046677
10,0.056055
4,0.038212
5,0.041098
7,0.042039
7,0.042791
23,0.076293
4,0.035105
3,0.035046
5,0.039945
11,0.046998
8,0.046317
1,0.030337
4,0.036769
7,0.041007
9,0.051096
12,0.051046
2,0.031619
3,0.033212
1,0.030317
4,0.035797
2,0.032952
7,0.040306
3,0.035887
7,0.045165
2,0.037761
1,0.030608
11,0.046898
1,0.030698
6,0.043882
2,0.032741
1,0.029986
1,0.030578
2,0.031629
4,0.03707
8,0.041749
6,0.038623
17,0.056696
2,0.0321
7,0.045676
4,0.038152
4,0.035216
6,0.038452
14,0.055194
1,0.031108
4,0.036849
4,0.03744
24,0.070242
20,0.062096
3,0.033673
1,0.030597
7,0.040406
2,0.032801
7,0.040526
23,0.068349
7,0.043351
1,0.030928
4,0.035527
4,0.036478
13,0.052278
3,0.033393
3,0.034625
6,0.040215
2,0.032802
4,0.036508
12,0.050925
22,0.064862
10,0.047579
24,0.070543
3,0.034905
2,0.032341
4,0.03716
19,0.061516
3,0.035176
1,0.031649
12,0.050425
1,0.03203
8,0.04225
9,0.046427
5,0.039885
11,0.046998
1,0.029695
5,0.037661
5,0.037381
16,0.055664
7,0.040045
4,0.036228
2,0.032842
4,0.038202
3,0.033403
1,0.030638
1,0.030737
10,0.047409
3,0.035417
1,0.030657
2,0.032832
9,0.046107
16,0.055684
1,0.029395
1,0.030247
41,0.139552
36,0.123392
8,0.049392
18,0.08016
15,0.067206
13,0.063218
13,0.063629
8,0.050314
23,0.089067
19,0.081232
11,0.055855
16,0.070522
35,0.120707
27,0.100659
30,0.110718
28,0.102722
33,0.116499
26,0.099728
33,0.114134
43,0.144752
31,0.107622
39,0.13318
19,0.080461
18,0.083597
21,0.083848
10,0.057077
27,0.10105
13,0.068338
14,0.072707
35,0.136236
12,0.068359
20,0.097493
38,0.147407
38,0.145984
46,0.1705
78,0.258986
63,0.219792
21,0.093956
56,0.201127
29,0.114856
49,0.175871
50,0.179106
13,0.068198
44,0.161984
52,0.184066
19,0.090941
41,0.153058
24,0.10128
16,0.077425
24,0.10678
37,0.140664
24,0.099758
30,0.119725
33,0.126297
27,0.107642
39,0.145002
22,0.099177
30,0.115597
52,0.185518
71,0.241243
30,0.123342
40,0.145433
38,0.141206
49,0.1757
33,0.132539
15,0.077205
43,0.159259
43,0.160401
85,0.277521
29,0.118743
34,0.130174
21,0.094607
45,0.165941
15,0.076463
34,0.13332
23,0.097322
14,0.073458
13,0.070944
29,0.114204
10,0.061876
23,0.098756
19,0.088286
24,0.103735
19,0.087785
11,0.063459
20,0.094598
31,0.422593
27,0.115427
9,0.057408
14,0.073177
12,0.066124
8,0.056516
16,0.076664
33,0.125455
7,0.050395
7,0.050004
13,0.067166
19,0.087324
17,0.078928
24,0.098846
14,0.070953
20,0.092053
15,0.075612
19,0.088797
21,0.092734
27,0.107452
13,0.069741
23,0.101661
23,0.10091
28,0.110527
36,0.146495
17,0.083206
31,0.123712
22,0.093405
22,0.100969
26,0.108734
37,0.136366
25,0.105919
26,0.107652
