numunique,time
48,0.180669
21,0.173245
7,0.173345
27,0.179838
6,0.173866
29,0.179076
18,0.174658
11,0.179387
22,0.178876
23,0.177303
15,0.178866
6,0.174668
20,0.182172
7,0.17544
18,0.180268
22,0.180419
7,0.17563
12,0.176962
5,0.178415
21,0.180008
7,0.180719
19,0.178415
8,0.180368
10,0.185258
14,0.176722
4,0.179337
13,0.180279
9,0.180098
8,0.177613
15,0.180329
22,0.178224
6,0.17565
2,0.178966
13,0.180068
9,0.178375
6,0.179467
5,0.180068
4,0.177914
16,0.178886
1,0.178315
3,0.174638
11,0.181581
5,0.179257
7,0.173877
4,0.174939
13,0.177904
14,0.179947
12,0.180529
7,0.18097
5,0.177924
4,0.175861
9,0.178235
3,0.180228
8,0.18142
5,0.182111
14,0.180448
1,0.179167
2,0.178795
19,0.179106
8,0.177182
10,0.179908
14,0.17592
23,0.173756
6,0.17562
18,0.173817
9,0.173576
10,0.176441
12,0.180459
9,0.176361
9,0.174969
8,0.174498
24,0.174408
40,0.17564
33,0.175439
12,0.18113
33,0.175018
49,0.174898
32,0.177514
90,0.24482
46,0.17598
71,0.18095
67,0.177724
74,0.177083
101,0.176041
118,0.176011
114,0.177734
113,0.174517
48,0.180239
151,0.175319
54,0.173125
49,0.173505
45,0.1755
72,0.17546
25,0.174819
83,0.175349
69,0.177433
127,0.176972
59,0.175018
111,0.18104
70,0.176752
60,0.17549
26,0.180569
36,0.180489
17,0.173716
30,0.176882
23,0.179086
32,0.177113
41,0.32498
42,0.175009
37,0.177503
47,0.174948
46,0.17622
16,0.179366
22,0.176381
13,0.17556
18,0.176531
3,0.177303
32,0.176351
8,0.175299
13,0.175499
25,0.175249
25,0.176692
6,0.182202
3,0.175269
12,0.176501
7,0.18074
23,0.178766
11,0.181521
10,0.181681
10,0.17605
17,0.175039
14,0.179948
15,0.178074
5,0.176562
20,0.19145
19,0.17569
20,0.17533
20,0.177052
6,0.174337
43,0.180769
113,0.174358
36,0.176571
70,0.176461
55,0.174327
26,0.179096
102,0.176521
43,0.18101
20,0.299151
32,0.176331
45,0.177403
23,0.17581
12,0.17588
49,0.180749
18,0.174948
90,0.175439
97,0.17549
120,0.175891
67,0.178535
77,0.176041
66,0.177504
105,0.176171
63,0.17602
72,0.176271
98,0.174317
80,0.174347
27,0.174016
42,0.175079
40,0.175239
111,0.175911
53,0.174538
93,0.17553
22,0.177403
25,0.174357
24,0.17619
22,0.181591
6,0.179146
8,0.175069
9,0.178225
12,0.177222
9,0.180098
15,0.174086
9,0.177784
24,0.175359
19,0.174407
13,0.176031
28,0.182122
19,0.17572
10,0.181852
13,0.176642
33,0.174387
25,0.178886
24,0.177293
14,0.175229
17,0.176482
23,0.178014
10,0.177874
17,0.176781
48,0.182051
11,0.176502
30,0.18085
9,0.181761
12,0.177083
15,0.176181
9,0.174969
13,0.174588
6,0.174678
7,0.180138
1,0.180319
16,0.174097
13,0.174959
2,0.180919
12,0.176401
2,0.180228
17,0.177994
11,0.179006
2,0.18102
4,0.181291
10,0.181551
5,0.18637
5,0.174127
30,0.176702
6,0.178114
12,0.178916
13,0.18135
9,0.180178
8,0.176271
22,0.174167
10,0.176692
213,0.176532
86,0.178024
125,0.175209
29,0.17599
67,0.177112
74,0.174978
64,0.17587
13,0.174928
51,0.179867
35,0.174237
8,0.176571
16,0.181381
37,0.1808
9,0.179767
14,0.176301
50,0.174989
213,0.18151
157,0.176281
161,0.176752
117,0.174989
201,0.185859
414,0.17607
138,0.177383
445,0.17589
187,0.17589
246,0.177523
156,0.174117
166,0.181902
126,0.18096
77,0.181231
129,0.175049
81,0.176372
43,0.174057
66,0.178796
54,0.175209
39,0.182963
30,0.178164
16,0.175991
19,0.178515
30,0.182683
189,0.325702
144,0.174989
284,0.177964
194,0.183204
165,0.176251
152,0.1759
131,0.179257
109,0.178815
51,0.17581
91,0.17593
81,0.174638
105,0.176531
160,0.176021
99,0.175349
50,0.175911
103,0.174638
135,0.173235
106,0.176411
113,0.174528
129,0.175098
65,0.17578
106,0.179186
120,0.174938
217,0.177633
216,0.178295
189,0.176191
201,0.17617
202,0.1757
198,0.176562
186,0.174858
167,0.175439
167,0.18148
126,0.179026
116,0.175079
98,0.18123
66,0.174297
77,0.174618
113,0.17539
89,0.174708
74,0.174387
198,0.175419
402,0.180519
514,0.17572
495,0.176301
425,0.176732
444,0.1807
390,0.180879
388,0.17567
530,0.182011
587,0.176211
580,0.177102
548,0.176091
602,0.177192
583,0.181972
556,0.176181
566,0.17582
611,0.179657
455,0.177554
467,0.177493
435,0.175419
519,0.176701
647,0.177544
562,0.17567
485,0.175019
537,0.379373
422,0.175209
424,0.175539
618,0.178866
432,0.176231
227,0.176441
228,0.178155
294,0.183284
409,0.17583
273,0.18114
215,0.177253
232,0.177032
295,0.178084
213,0.178685
358,0.178184
176,0.177895
204,0.177944
173,0.176161
114,0.176311
88,0.177623
111,0.175951
86,0.177513
165,0.176151
73,0.18142
128,0.176602
74,0.18085
93,0.179207
133,0.176261
114,0.176782
65,0.177083
103,0.180659
91,0.176472
215,0.177022
196,0.17608
85,0.174808
177,0.177113
125,0.175009
223,0.177343
257,0.185087
171,0.182002
222,0.178325
220,0.177823
202,0.176261
170,0.17625
174,0.17557
239,0.176541
198,0.177323
321,0.177042
235,0.180008
365,0.179036
266,0.17555
258,0.177514
205,0.177193
337,0.182903
275,0.176501
211,0.182182
198,0.177003
244,0.177904
274,0.177383
190,0.176241
179,0.181922
141,0.182273
202,0.178215
166,0.176903
108,0.176762
82,0.176792
108,0.176361
65,0.174658
50,0.174518
44,0.173566
56,0.176452
52,0.174969
29,0.177353
73,0.175629
83,0.17572
69,0.176221
102,0.175179
68,0.173646
68,0.175449
114,0.175259
90,0.176251
84,0.17598
65,0.183424
65,0.176
54,0.176541
82,0.176752
100,0.176671
163,0.17569
166,0.177643
183,0.177003
168,0.176311
165,0.173856
425,0.183004
317,0.180799
385,0.182091
285,0.182122
220,0.176301
204,0.178485
187,0.176401
153,0.181852
229,0.18117
306,0.179487
245,0.176592
152,0.175099
211,0.177243
223,0.176051
283,0.176131
186,0.176121
283,0.180189
291,0.183073
286,0.176782
313,0.177533
400,0.18117
323,0.176171
399,0.176922
415,0.174758
496,0.176572
311,0.175109
280,0.182703
424,0.179407
346,0.179116
209,0.176742
232,0.176702
292,0.181991
322,0.177152
202,0.178775
287,0.178435
201,0.176341
150,0.176151
229,0.176521
299,0.176652
225,0.181991
112,0.17575
230,0.177704
144,0.175409
109,0.176331
67,0.178845
103,0.17557
138,0.176402
103,0.174137
162,0.185449
269,0.176251
196,0.178124
264,0.178224
255,0.17573
367,0.177263
165,0.17597
185,0.180248
438,0.176761
184,0.178054
223,0.177874
212,0.176311
173,0.178034
182,0.179747
145,0.174988
164,0.177303
233,0.178766
286,0.178104
285,0.176862
233,0.176892
87,0.174077
114,0.181952
238,0.309321
148,0.175039
94,0.18102
249,0.17617
129,0.175079
132,0.1762
179,0.178485
205,0.175389
141,0.174338
131,0.182412
165,0.173676
271,0.176371
138,0.17611
79,0.247685
140,0.180188
92,0.177423
125,0.175249
113,0.176522
80,0.174728
41,0.179216
38,0.174598
68,0.174538
52,0.181391
56,0.180038
44,0.172634
60,0.174558
71,0.175349
98,0.174297
82,0.17572
71,0.179888
64,0.173786
83,0.174888
65,0.176251
56,0.17565
60,0.179287
87,0.175069
51,0.179066
45,0.173917
57,0.177112
62,0.174527
33,0.174398
60,0.174719
42,0.17587
33,0.175169
40,0.176843
55,0.18116
23,0.180469
18,0.176532
26,0.174488
28,0.26123
21,0.178124
19,0.174788
16,0.174318
31,0.17563
25,0.174607
36,0.178986
61,0.174938
74,0.175008
76,0.180089
51,0.174057
73,0.17544
44,0.17592
29,0.180689
20,0.178705
34,0.18123
18,0.174287
19,0.174167
19,0.173646
20,0.173095
19,0.178966
45,0.182082
27,0.174517
45,0.174398
68,0.174628
78,0.174457
108,0.174829
77,0.174739
87,0.179237
68,0.173015
140,0.174267
113,0.175309
116,0.174097
196,0.180099
90,0.175991
134,0.178395
170,0.186189
153,0.180749
246,0.176702
142,0.176552
159,0.17543
100,0.174036
118,0.176501
116,0.17551
112,0.17564
105,0.176191
107,0.182553
91,0.175139
39,0.174177
80,0.178636
120,0.175289
69,0.173927
44,0.176702
102,0.175429
39,0.282009
26,0.173416
33,0.176251
45,0.175389
12,0.175019
19,0.173286
21,0.176772
26,0.174718
20,0.174968
24,0.179236
63,0.180318
44,0.178786
62,0.1808
44,0.17544
36,0.175259
73,0.18143
55,0.17543
53,0.17548
52,0.175079
85,0.176401
60,0.175279
73,0.179948
25,0.174929
31,0.174328
29,0.174318
28,0.176973
19,0.18075
13,0.173345
19,0.172995
16,0.17547
16,0.174658
17,0.174117
28,0.186691
43,0.179026
23,0.17552
21,0.174598
20,0.176231
20,0.176491
15,0.174007
18,0.174859
21,0.17549
9,0.175921
5,0.176031
12,0.186881
10,0.184897
6,0.180599
9,0.175901
12,0.184777
6,0.174498
6,0.174368
20,0.18098
14,0.175209
4,0.179346
7,0.17605
9,0.174578
12,0.175911
14,0.177303
3,0.178005
6,0.184636
9,0.179698
1,0.182233
1,0.180669
2,0.180269
3,0.176611
20,0.179557
2,0.174989
1,0.175319
6,0.178275
7,0.180669
1,0.184326
12,0.180438
9,0.18121
15,0.179667
9,0.180038
2,0.176591
2,0.180198
4,0.182783
2,0.176121
1,0.189776
1,0.180168
3,0.176922
1,0.181581
4,0.184997
3,0.178976
2,0.180499
43,0.184116
11,0.177423
31,0.176661
12,0.17571
7,0.174678
6,0.176261
5,0.176221
7,0.175199
6,0.177543
1,0.17583
