allocationlistsize,time
656,0.22868
186,0.219983
37,0.220083
170,0.220904
56,0.228349
193,0.222148
2667,0.467438
105,0.222278
22,0.217829
23,0.213671
15,0.214924
31,0.214222
19,0.217709
30,0.216035
18,0.214333
22,0.217018
53,0.212589
1182,0.215274
5,0.21278
21,0.211567
7,0.212249
19,0.212108
8,0.21287
465,0.212509
137,0.213421
4,0.211387
213,0.213411
163,0.212279
32,0.217709
15,0.211618
22,0.213
55,0.211878
2,0.212539
13,0.21318
9,0.213411
6,0.214523
5,0.21282
4,0.212108
16,0.21801
47,0.212979
11,0.212239
251,0.218009
1216,0.214543
130,0.211818
13,0.219452
14,0.211737
12,0.21329
7,0.217017
5,0.211948
57,0.220244
9,0.214212
3,0.21296
8,0.216737
5,0.212309
14,0.217769
1,0.21288
2,0.213501
19,0.212609
47,0.214423
9,0.216807
964,0.214483
463,0.213501
56,0.212379
202,0.221987
173,0.21301
232,0.21327
146,0.214193
157,0.212309
153,0.212169
45,0.214383
1204,0.218591
2400,0.214493
1234,0.214283
470,0.217999
2529,0.4206
8680,0.435047
1425,0.214242
10884,0.49522
1618,0.214964
2711,0.424006
2814,0.426642
3020,0.428835
14404,0.429917
8712,0.434065
17444,0.444595
4061,0.439345
1213,0.215535
5586,0.434636
2640,0.424667
1133,0.214393
735,0.21836
1627,0.214353
116,0.213601
2927,0.42638
1320,0.213721
6549,0.431731
2540,0.422663
4051,0.439676
2300,0.215565
1211,0.220203
380,0.223439
1311,0.213681
315,0.214282
565,0.213421
687,0.214843
1834,0.214432
1778,0.215464
2575,0.424638
2171,0.214112
3397,0.4261
2462,0.423325
481,0.211717
958,0.214242
240,0.214092
3182,0.426451
128,0.214262
3010,0.428194
227,0.21289
530,0.21269
4451,0.438533
1229,0.214583
6,0.21293
52,0.212188
133,0.21321
7,0.21319
24,0.212338
196,0.21296
54,0.212329
97,0.221115
667,0.21855
14,0.21328
355,0.214142
38,0.213701
1603,0.215374
194,0.213761
650,0.214723
2494,0.422313
27,0.214693
1797,0.214203
8310,0.433605
1261,0.225203
3220,0.425289
1975,0.216216
474,0.21286
6049,0.436721
1434,0.215835
174,0.330841
632,0.21308
1089,0.216346
668,0.21859
70,0.213992
1696,0.219793
433,0.214753
3185,0.428264
3963,0.434215
7669,0.434005
1507,0.216857
2546,0.42577
2065,0.215013
5737,0.439235
2418,0.219532
2382,0.220945
3774,0.433253
3205,0.430147
548,0.219202
1260,0.220935
1268,0.214213
8430,0.43636
945,0.214172
3511,0.433223
243,0.211688
374,0.214062
435,0.217158
352,0.213261
80,0.213481
162,0.21257
72,0.21865
145,0.213481
9,0.22358
269,0.213962
156,0.211848
281,0.213591
489,0.213711
334,0.213501
1061,0.215194
8520,0.433935
179,0.212589
150,0.214323
6685,0.428515
1304,0.216387
731,0.213932
1399,0.215004
2085,0.214443
1177,0.213912
447,0.213411
798,0.213261
1400,0.215435
374,0.21303
15706,0.433755
99,0.21276
253,0.213811
1156,0.21298
262,0.213892
198,0.216086
123,0.2128
90,0.21263
382,0.371869
680,0.213781
2,0.213091
616,0.211978
3,0.21306
17,0.214062
11,0.222288
30,0.21302
4,0.213862
11,0.211547
5,0.219823
42,0.211457
9277,0.435348
202,0.214001
294,0.213632
257,0.21263
216,0.21313
258,0.214923
522,0.214082
647,0.215445
14725,0.433104
3092,0.423205
4008,0.439576
988,0.221205
1765,0.215525
2218,0.214734
2035,0.215325
301,0.221736
1060,0.220184
545,0.21333
94,0.219302
16,0.211507
2297,0.216126
121,0.213712
174,0.218801
1714,0.214182
7239,0.433505
3539,0.434456
6603,0.430288
3069,0.428544
7628,0.433755
19830,0.434847
2308,0.216727
22791,0.440357
6187,0.432512
4917,0.433254
3433,0.433754
6158,0.435658
3736,0.434556
3014,0.434947
3793,0.435819
1767,0.216276
1202,0.219472
1342,0.22343
1052,0.214633
827,0.215795
182,0.213902
147,0.218089
224,0.213751
444,0.218821
14220,0.576322
16669,0.436109
14212,0.43127
7129,0.43144
6089,0.427853
4463,0.439726
3413,0.434145
2790,0.430168
867,0.214663
2492,0.422894
1369,0.215024
2971,0.433364
4373,0.441089
2038,0.216898
1101,0.213692
1727,0.216467
2994,0.428094
2817,0.426321
2452,0.42094
2637,0.422865
1284,0.214753
2387,0.215865
2968,0.428505
6921,0.432873
9592,0.433825
6209,0.433925
5491,0.431921
4207,0.434206
4804,0.430809
4475,0.442581
3657,0.439195
3842,0.43687
3376,0.4313
2621,0.421341
2415,0.215795
1101,0.215565
971,0.215445
1864,0.219072
1713,0.214923
1674,0.215976
8571,0.43638
24372,0.435558
26203,0.43677
19640,0.43661
16718,0.439185
20680,0.434606
19215,0.434847
19413,0.438514
28889,0.448512
30567,0.449194
37436,0.450145
35239,0.449664
29896,0.446739
29026,0.449454
27686,0.445797
26031,0.441679
24532,0.438283
14012,0.433284
14424,0.433133
18861,0.431049
18981,0.438323
34054,0.447911
20616,0.440037
14991,0.435338
21859,0.645793
13090,0.436549
10752,0.443082
27289,0.450045
12775,0.443884
4813,0.431781
8191,0.433784
13145,0.44162
37205,0.444976
15834,0.435899
7612,0.433344
10036,0.431621
10773,0.438294
6016,0.431611
27846,0.446619
9836,0.432141
10534,0.437462
3080,0.423355
2816,0.421762
1015,0.219943
2222,0.216226
1772,0.215655
9071,0.429968
1200,0.215815
2627,0.421251
1327,0.22366
2126,0.215324
4457,0.438183
7415,0.432232
1199,0.214292
4318,0.433704
2067,0.215164
8924,0.436469
11297,0.434116
1166,0.213161
9726,0.430738
5804,0.433814
9167,0.431971
18800,0.438263
6189,0.428034
7925,0.434797
12397,0.438624
6070,0.429727
5178,0.431781
5315,0.438032
10326,0.430168
6330,0.430368
14896,0.433694
11321,0.435137
17666,0.440327
13494,0.435237
12473,0.435939
5878,0.440547
19844,0.436279
11105,0.435137
5626,0.435958
12443,0.432422
9004,0.432502
13311,0.435959
5111,0.433824
7720,0.430879
5440,0.433684
6870,0.432602
8846,0.440006
6659,0.437321
1219,0.216156
3566,0.430098
3341,0.426872
1667,0.218149
1748,0.215064
2203,0.220594
886,0.217278
579,0.216937
18995,0.4314
2715,0.427393
7208,0.4416
4953,0.432202
5366,0.435879
4918,0.432732
11020,0.434426
11640,0.435729
1976,0.214663
5581,0.431912
1197,0.216727
2020,0.215565
6911,0.430027
2458,0.426361
4072,0.439135
6571,0.432292
4728,0.430568
4409,0.436951
5386,0.430598
27291,0.446589
14752,0.432653
24526,0.434697
11274,0.435217
5847,0.43671
6453,0.430489
4462,0.435708
3135,0.427542
7621,0.433314
9520,0.4313
7771,0.435348
3356,0.428274
19261,0.433765
7316,0.433885
7645,0.435558
3534,0.433724
13968,0.434416
13240,0.437872
9061,0.43629
13381,0.442591
20399,0.434927
10221,0.435418
18382,0.435208
19417,0.435288
25056,0.439185
12470,0.435698
7504,0.434255
16074,0.442872
13148,0.437321
3674,0.432382
4728,0.430689
9862,0.435568
8208,0.435728
3000,0.429717
6395,0.431099
4169,0.43623
2500,0.424528
7562,0.435438
9635,0.436851
4843,0.434746
4865,0.430298
7758,0.431179
2657,0.424027
1326,0.216717
727,0.214974
1881,0.213922
2882,0.430709
1850,0.215725
6867,0.433735
31657,0.443423
6999,0.429987
11598,0.4416
12076,0.434696
26206,0.437462
9840,0.428966
5310,0.432382
53433,0.452079
3478,0.434616
5453,0.437672
8071,0.44183
4350,0.436048
3129,0.426832
2462,0.426281
4694,0.428665
10848,0.433384
8929,0.443222
13240,0.438063
6522,0.437301
1339,0.214243
1625,0.216236
9181,0.543681
1959,0.21836
1329,0.213902
13360,0.439526
2157,0.216146
2922,0.42584
7420,0.439125
5212,0.429968
3830,0.437923
2260,0.217358
4534,0.430588
9942,0.437331
1865,0.213571
978,0.291818
2810,0.423546
822,0.215064
1664,0.215044
1672,0.214634
849,0.213972
372,0.217779
283,0.21318
1705,0.217018
506,0.211948
2061,0.21853
724,0.215164
497,0.214393
1898,0.214313
3800,0.430769
6131,0.423776
4102,0.4317
5574,0.425659
10385,0.427343
1169,0.219673
1585,0.213922
534,0.217598
16935,0.428385
854,0.215394
490,0.211428
1218,0.215084
1426,0.21851
231,0.217899
2850,0.421341
1556,0.213992
509,0.211657
739,0.21808
3623,0.423455
183,0.211497
167,0.214744
349,0.211266
310,0.208853
213,0.209794
157,0.286999
255,0.212549
608,0.213641
132,0.209984
592,0.209303
1278,0.21315
2094,0.214583
2923,0.408467
657,0.211066
2364,0.211567
676,0.211657
381,0.210405
265,0.215114
517,0.214694
184,0.207871
279,0.209734
143,0.214953
337,0.209664
191,0.208722
2150,0.211748
270,0.209744
561,0.209624
2402,0.219813
2218,0.214974
7088,0.413476
3258,0.407736
3505,0.41514
4347,0.418035
7908,0.415831
4165,0.416642
5251,0.411533
22936,0.417203
4522,0.416623
9862,0.416452
12386,0.414198
11219,0.41566
28655,0.429316
10902,0.416572
7403,0.414128
2790,0.4099
6254,0.413787
3365,0.407956
2928,0.40979
2185,0.21295
3321,0.409278
1641,0.214403
558,0.216757
2817,0.406884
5231,0.417224
2693,0.406674
382,0.215114
4060,0.423005
685,0.211527
413,0.210846
772,0.313098
324,0.216307
145,0.210055
127,0.210055
277,0.21317
159,0.21842
94,0.208572
413,0.209663
1139,0.211758
880,0.214543
1800,0.211096
503,0.209924
480,0.209583
2200,0.211457
1042,0.210696
932,0.211347
1004,0.211507
3267,0.413987
1444,0.216928
2403,0.210816
224,0.210195
463,0.212419
332,0.214283
275,0.209644
115,0.210506
57,0.209955
366,0.214363
92,0.209744
148,0.209513
175,0.209694
335,0.209293
575,0.216526
350,0.209273
178,0.210516
427,0.210906
454,0.214734
106,0.209965
251,0.217719
512,0.214392
31,0.208952
40,0.210956
10,0.211407
139,0.209293
103,0.209484
591,0.210536
41,0.210365
41,0.210225
36,0.215685
776,0.210365
374,0.218951
55,0.215465
249,0.209975
92,0.209503
1,0.214092
319,0.209454
332,0.209634
122,0.212038
9,0.209503
1,0.209283
1,0.209794
2,0.210465
349,0.209995
22,0.209263
76,0.212098
34,0.210135
8,0.210355
2,0.21294
2,0.212119
12,0.210024
9,0.215314
17,0.211758
10,0.209684
23,0.215275
2,0.208852
4,0.210064
71,0.210586
7,0.209603
3,0.209453
236,0.211186
33,0.211066
4,0.209413
38,0.211958
2,0.211838
4376,0.40471
505,0.210605
1224,0.212429
694,0.210204
166,0.210816
105,0.209714
17,0.211287
300,0.211838
209,0.209523
32,0.215314
1043,0.210325
1723,0.212509
152,0.215495
763,0.212098
4728,0.411493
207,0.209343
3261,0.409169
320,0.214573
133,0.209473
144,0.209364
96,0.209413
250,0.209784
115,0.211276
215,0.210015
107,0.210576
3254,0.405221
70,0.209704
272,0.209724
745,0.211558
18,0.210044
66,0.210175
1,0.210525
76,0.217198
5,0.210536
3,0.209914
9,0.214863
6,0.210686
53,0.209373
29,0.215475
136,0.209453
93,0.210565
86,0.210004
247,0.210124
159,0.211487
84,0.210495
140,0.215505
84,0.209484
304,0.215615
435,0.210566
241,0.209013
1348,0.211477
193,0.209663
114,0.209424
247,0.209704
217,0.215825
293,0.209764
392,0.211137
200,0.209554
128,0.217829
37,0.209784
1921,0.210846
2839,0.406884
4141,0.412995
1349,0.212068
257,0.210365
421,0.210255
14,0.209544
10,0.209674
27,0.215765
68,0.209884
10,0.209083
217,0.208782
38,0.211026
31,0.215555
5,0.216727
6,0.210375
23,0.209634
4,0.210024
25,0.211717
83,0.209604
14,0.210916
94,0.214262
1,0.215746
28,0.216246
7,0.213962
1174,0.210656
12,0.209895
3,0.216026
3,0.211186
4,0.210035
2,0.210465
6,0.216166
104,0.208923
1249,0.210927
2,0.215585
1,0.210415
13,0.209594
1,0.211076
2260,0.210265
46,0.211056
1,0.211898
5,0.212098
50,0.210184
13,0.211177
7,0.210856
17,0.209494
2,0.211207
6,0.210766
79,0.210466
5,0.209964
1,0.209263
11,0.210936
1,0.210545
4,0.210325
969,0.213
21,0.217038
22,0.215194
3,0.215014
11,0.209974
3,0.209584
7,0.210314
24,0.215304
8,0.208762
1,0.211728
4,0.211317
5,0.209934
15,0.211087
3,0.215925
76,0.211207
4,0.216286
30,0.210686
9,0.214884
15,0.213181
24,0.211658
10,0.215736
17,0.209924
56,0.217018
1,0.211588
1,0.210626
40,0.210887
21,0.210144
50,0.216206
11,0.217839
1,0.216637
9,0.209494
9,0.212639
77,0.216016
6,0.209133
2,0.215745
6,0.212089
2,0.21279
18,0.209253
7,0.215214
1,0.210104
4,0.217529
16,0.216096
8,0.209794
39,0.211728
3,0.215375
1,0.210636
12,0.209223
46,0.209714
85,0.215124
75,0.210486
6,0.208912
9,0.210185
15,0.209373
22,0.217869
1,0.210455
12540,0.416492
6009,0.410621
186,0.214823
626,0.209584
212,0.209864
1506,0.21863
304,0.209253
176,0.210696
560,0.210305
244,0.208982
400,0.209875
403,0.210455
6215,0.41011
1100,0.211908
735,0.21279
1415,0.220855
946,0.211097
516,0.214283
842,0.212429
2145,0.210776
811,0.211547
3012,0.417995
136,0.209343
323,0.209163
164,0.209603
85,0.214744
623,0.215915
145,0.209905
107,0.209524
4473,0.416502
157,0.209533
277,0.214273
1203,0.210936
765,0.211958
1916,0.210976
9431,0.411763
1913,0.215004
264,0.215094
1709,0.211037
274,0.211197
2266,0.217328
1576,0.21299
139,0.211116
3614,0.41543
2904,0.406454
107,0.219642
