allocationlistsize,time
747,0.211086
134,0.208381
37,0.20777
83,0.210796
74,0.211548
101,0.205646
1674,0.210506
37,0.203132
12,0.199284
35,0.201318
35,0.201829
95,0.20209
9,0.208091
39,0.200918
53,0.200016
46,0.200366
179,0.199955
673,0.200707
63,0.2026
127,0.199665
86,0.200817
13,0.199996
34,0.199204
313,0.205917
21,0.200787
120,0.204253
9,0.200226
110,0.198412
13,0.199605
1,0.197631
43,0.199184
1,0.20215
38,0.199735
4,0.200046
1,0.201188
6,0.199735
17,0.200146
20,0.200677
33,0.199705
22,0.205827
24,0.199595
73,0.200226
1273,0.203192
9,0.200537
6,0.204685
117,0.199995
4,0.203171
23,0.199063
15,0.200807
2,0.201077
19,0.203533
8,0.199104
57,0.201809
21,0.200687
2,0.200717
6,0.205736
3,0.198883
17,0.206017
179,0.200938
27,0.200617
421,0.206649
94,0.200486
185,0.208983
340,0.199134
49,0.200076
202,0.199385
77,0.205015
179,0.198813
254,0.198813
41,0.20253
521,0.198913
338,0.199284
1153,0.200727
782,0.200296
2218,0.264126
5293,0.39933
1421,0.2024
9495,0.407104
1480,0.200808
2402,0.201438
1650,0.202099
3004,0.4043
9429,0.411483
5474,0.407235
11649,0.410801
3425,0.410922
11443,0.415711
4735,0.412234
1542,0.201659
873,0.201328
823,0.199795
979,0.20221
149,0.20217
1974,0.201278
1839,0.201197
4374,0.411864
2002,0.201729
2898,0.403668
1633,0.205025
907,0.200487
393,0.205496
873,0.20208
259,0.199575
427,0.201408
407,0.200306
2135,0.200957
1146,0.200256
1224,0.201629
1310,0.209703
3035,0.507503
3445,0.407555
327,0.198834
1132,0.206779
537,0.199976
1335,0.201418
142,0.199625
4264,0.410842
843,0.201018
135,0.200998
2804,0.403428
426,0.199875
24,0.200146
39,0.199484
168,0.20241
56,0.198713
125,0.199655
240,0.200146
315,0.2024
30,0.199434
747,0.204594
245,0.200296
666,0.200417
55,0.204103
426,0.199284
267,0.2022
411,0.200096
1204,0.206528
64,0.199325
4209,0.41496
8301,0.42079
876,0.201097
2468,0.398207
1549,0.20222
513,0.201608
3932,0.41004
980,0.205967
272,0.201258
632,0.202169
1047,0.200115
836,0.206498
73,0.200006
1159,0.20219
568,0.199665
2032,0.201989
3272,0.407595
5232,0.409058
1007,0.204774
1575,0.20736
2344,0.204003
4293,0.413307
1775,0.207089
1391,0.201839
2792,0.401043
2580,0.398188
509,0.200978
762,0.206598
1115,0.200887
5569,0.406583
920,0.200838
2774,0.404249
190,0.202992
484,0.199825
512,0.204253
375,0.199285
69,0.200246
2174,0.201439
13,0.200827
288,0.201379
17,0.200256
126,0.200406
31,0.199365
445,0.200416
353,0.200356
127,0.204634
910,0.20213
5569,0.412184
27,0.199255
117,0.199375
3896,0.408587
1506,0.199795
389,0.199434
527,0.200036
2992,0.403969
670,0.200707
236,0.200146
48,0.206698
1237,0.200837
279,0.200236
9470,0.403588
88,0.200126
430,0.200186
647,0.203672
212,0.201398
85,0.199314
378,0.200987
51,0.202881
1,0.19708
65,0.205246
2163,0.200747
16,0.210806
23,0.200657
8,0.199175
1,0.198593
90,0.200537
319,0.199795
51,0.207009
10,0.205326
6924,0.409348
132,0.204494
321,0.205286
161,0.199184
239,0.199494
