allocationlistsize,time
656,1.16279
186,0.360317
37,0.095459
170,0.337243
56,0.126147
192,0.375866
2667,4.40562
103,0.211257
22,0.071354
23,0.069681
15,0.060383
31,0.084729
19,0.066535
31,0.088776
15,0.058761
22,0.073498
52,0.119865
1183,1.99684
5,0.038041
21,0.068709
7,0.043923
20,0.065453
8,0.04292
465,0.803039
137,0.26599
4,0.035948
215,0.39938
163,0.309432
32,0.091211
15,0.05312
22,0.069731
55,0.126037
2,0.03175
13,0.052348
9,0.045055
6,0.042339
5,0.036478
4,0.03704
16,0.054122
47,0.107943
11,0.050495
251,0.453722
1216,2.06454
130,0.249669
13,0.050705
14,0.055414
12,0.050144
7,0.04268
5,0.039925
54,0.121388
9,0.044533
1,0.028975
8,0.043302
23,0.067056
5,0.040957
14,0.052368
1,0.029856
2,0.030968
19,0.064401
47,0.114886
9,0.045164
964,1.63159
464,0.801616
56,0.123031
198,0.368923
173,0.318829
232,0.427553
146,0.279405
159,0.300074
153,0.289012
42,0.104235
1203,2.05343
2409,4.05082
1241,2.10509
469,0.820591
2526,4.22865
1422,2.4231
1618,2.72806
2715,4.58461
2820,4.71507
3014,5.09314
8712,14.5789
4034,6.75528
1216,2.0755
5598,9.4164
2644,4.45434
1118,1.92884
734,1.28668
1803,3.09174
112,0.243277
2927,4.93083
1320,2.27028
6545,10.9646
2538,4.28591
4017,6.76665
2293,3.91717
1216,2.09455
380,0.682132
1318,2.22896
312,0.556475
563,0.974931
683,1.16843
1832,3.06597
1799,3.04231
2570,4.3003
2173,3.64143
3391,5.65103
2456,4.13733
488,0.852441
958,1.62714
239,0.436269
3182,5.32955
128,0.240351
3008,5.05565
226,0.410531
529,0.909599
4451,7.41594
1227,2.06658
7,0.041017
52,0.264968
134,0.265709
7,0.041117
23,0.072166
195,0.365697
53,0.1274
99,0.200407
667,1.12891
14,0.056326
352,0.611869
40,0.099307
1617,2.72776
195,0.374263
652,1.11447
2490,4.20218
27,0.076804
1798,3.087
8309,14.0765
1265,2.18805
3272,5.54504
2003,3.43497
473,0.843624
6016,10.1718
1427,2.44377
173,0.445607
626,1.09518
1101,1.90782
666,1.15288
71,0.157676
1694,2.88325
435,0.772631
3188,5.44954
3960,6.92123
7672,12.9747
1500,2.60199
2530,4.3139
2065,3.53241
5740,9.67811
2420,4.14071
2390,4.07514
3766,6.43641
3197,5.44063
555,0.983186
1240,2.13004
1271,2.18855
8430,14.238
944,1.66228
3503,5.98738
242,0.458701
373,0.672322
429,0.767962
352,0.643989
81,0.169208
162,0.306436
71,0.152716
146,0.284204
8,0.043562
267,0.492695
152,0.290836
282,0.524616
490,0.863982
329,0.590549
1061,1.82113
8521,13.9339
180,0.336682
155,0.299402
6699,11.0131
1308,2.18501
679,1.16132
1398,2.32462
2084,3.45917
1160,1.96186
438,0.76145
805,1.37824
1403,2.43916
377,0.663066
15785,25.8571
95,0.193123
251,0.462578
1157,1.94562
262,0.47356
199,0.362902
121,0.232306
89,0.179287
371,0.650672
675,1.14796
2,0.03178
640,1.08476
3,0.032401
17,0.060052
11,0.047599
30,0.078147
4,0.035517
10,0.045084
5,0.035877
40,0.099407
9277,15.1881
203,0.371508
292,0.532109
223,0.412725
214,0.392677
257,0.467849
567,0.999678
659,1.14345
14727,24.4938
3100,5.24742
