allocationlistsize,time
747,0.226064
134,0.222738
37,0.219652
83,0.226566
74,0.219412
101,0.221997
1674,0.224802
37,0.222659
12,0.222177
35,0.221466
35,0.221276
95,0.210936
9,0.211558
39,0.214864
52,0.210916
46,0.210395
179,0.215935
673,0.220083
64,0.210846
127,0.210245
86,0.210946
13,0.215174
34,0.208652
313,0.211588
21,0.21269
120,0.208261
9,0.207971
110,0.214974
13,0.209143
1,0.212039
43,0.209774
1,0.209043
38,0.208281
4,0.214733
1,0.209273
6,0.210124
17,0.211567
20,0.209463
33,0.214943
22,0.210456
24,0.208622
73,0.209213
1273,0.209534
9,0.211818
6,0.21304
117,0.209363
4,0.208852
23,0.208922
15,0.209664
2,0.215244
19,0.209464
8,0.209253
57,0.210064
21,0.207781
2,0.209814
6,0.213752
3,0.217228
17,0.211367
179,0.209033
27,0.218019
421,0.209694
95,0.209263
185,0.209734
340,0.214673
49,0.208782
202,0.215264
77,0.209052
179,0.209132
254,0.208883
41,0.209634
522,0.210204
338,0.215895
1153,0.2128
782,0.212549
2218,0.273343
5294,0.422664
1420,0.209464
9492,0.416443
1481,0.210165
2404,0.211828
1651,0.210456
3007,0.418025
9306,0.420981
5474,0.42073
11648,0.434246
3385,0.418416
11441,0.573207
4668,0.413757
1541,0.211276
874,0.211557
822,0.215444
979,0.210475
149,0.209955
1976,0.215434
1838,0.216607
4376,0.422453
2002,0.217519
2902,0.418416
1636,0.211417
899,0.214402
401,0.210846
873,0.217438
259,0.215504
425,0.212079
407,0.209263
2135,0.215564
1147,0.209674
1225,0.211407
1309,0.211326
3044,0.532731
3446,0.417053
327,0.208872
1132,0.209503
536,0.210375
1335,0.210456
142,0.210956
4265,0.421642
844,0.212319
136,0.221857
2804,0.411764
426,0.209704
24,0.208271
39,0.215395
168,0.21302
56,0.209734
125,0.209133
240,0.209714
313,0.209414
32,0.208962
747,0.214794
245,0.208341
665,0.210485
55,0.215124
426,0.210035
268,0.209223
411,0.209894
1204,0.209743
64,0.208973
4209,0.418436
8301,0.427092
876,0.215024
2468,0.409469
1549,0.210295
513,0.209694
3936,0.419077
980,0.209673
270,0.208512
633,0.208993
1047,0.212589
836,0.210285
73,0.209724
1159,0.211888
568,0.210445
2031,0.218059
3270,0.415531
5234,0.417444
1007,0.209744
1576,0.212449
2346,0.212098
4293,0.423335
1774,0.211387
1391,0.211407
2794,0.419788
2581,0.413917
512,0.208672
765,0.209393
1115,0.211888
5573,0.417333
922,0.210184
2776,0.412846
190,0.209724
487,0.210014
512,0.209072
375,0.209824
69,0.214252
2125,0.211838
13,0.208211
287,0.215725
17,0.207981
126,0.209824
31,0.208141
445,0.214372
354,0.209213
127,0.209113
910,0.209854
5568,0.427633
27,0.209784
117,0.207781
3890,0.426191
1506,0.210726
388,0.209363
524,0.208793
2992,0.412815
670,0.211246
236,0.209624
47,0.210465
1237,0.210766
279,0.215043
9470,0.414819
88,0.213911
429,0.210696
647,0.215795
212,0.208531
85,0.209413
378,0.208612
51,0.208452
1,0.205656
65,0.212138
2163,0.208782
16,0.21292
23,0.213431
8,0.208802
1,0.209584
90,0.210134
319,0.209364
51,0.209423
10,0.208893
6924,0.42063
132,0.209934
321,0.210095
161,0.214703
239,0.209423
734,0.215134
463,0.209464
430,0.209093
25271,0.423175
2406,0.212278
3310,0.414809
1125,0.210565
1412,0.212098
2108,0.217067
1610,0.210616
287,0.208522
1125,0.210886
611,0.209043
126,0.208782
39,0.213491
1016,0.216036
103,0.209003
232,0.210045
1359,0.211578
5504,0.418416
3137,0.414389
5703,0.419638
2598,0.411042
7413,0.563358
17088,0.4259
1900,0.211487
17504,0.425208
3984,0.419938
4575,0.414599
3197,0.419308
5567,0.418617
3433,0.416462
2463,0.412114
3307,0.414318
2134,0.212309
542,0.209924
979,0.209914
1133,0.217048
9096,0.41562
1508,0.215725
375,0.209393
307,0.214864
2313,0.211537
21282,0.42041
10836,0.423906
11416,0.422473
5576,0.419448
4560,0.415711
3819,0.418316
2569,0.407044
2099,0.217719
754,0.209944
