allocationlistsize,time
656,0.209945
186,0.206839
37,0.205466
170,0.213601
56,0.208652
192,0.209714
2667,0.451858
104,0.211067
22,0.211246
22,0.210455
15,0.211788
31,0.214092
19,0.208922
30,0.215826
15,0.210785
22,0.217318
53,0.210635
1183,0.217829
5,0.215996
21,0.214493
7,0.209113
20,0.210084
8,0.211036
465,0.212699
138,0.210936
4,0.210856
201,0.210626
163,0.210866
32,0.211277
15,0.210876
22,0.213331
55,0.210606
2,0.208261
13,0.212179
9,0.210876
6,0.211558
5,0.210215
4,0.211407
16,0.210235
47,0.210936
11,0.20769
251,0.209654
1216,0.215896
130,0.211117
14,0.210465
14,0.209373
12,0.211327
7,0.209233
5,0.210455
50,0.210244
9,0.208903
3,0.209493
8,0.210104
5,0.210466
14,0.211527
1,0.212619
2,0.215625
19,0.209934
47,0.211307
9,0.211397
974,0.21307
439,0.210876
56,0.21317
205,0.209684
173,0.209905
232,0.210796
146,0.214913
159,0.209814
153,0.209493
43,0.210225
1205,0.215866
2410,0.213491
1239,0.21274
466,0.211337
2530,0.449875
8730,0.464072
1425,0.211006
10881,0.549021
1619,0.211538
2718,0.450386
2814,0.453581
3026,0.461086
14413,0.464072
8714,0.463069
17393,0.46857
4036,0.467679
1215,0.216086
5595,0.460164
2647,0.457018
1132,0.210135
740,0.215505
1628,0.212729
116,0.217128
2926,0.454975
1321,0.21821
6547,0.458752
2542,0.448943
4045,0.466617
2294,0.213611
1231,0.212259
382,0.210866
1320,0.211978
316,0.211097
564,0.209985
687,0.21254
1832,0.215745
1791,0.21291
2587,0.450346
2159,0.212929
3395,0.455736
2460,0.450967
487,0.209333
957,0.210485
239,0.209083
3179,0.453863
128,0.210997
3009,0.457249
226,0.210796
530,0.226726
4451,0.467568
1233,0.212178
6,0.210706
51,0.209373
134,0.214082
7,0.213852
24,0.208822
196,0.210466
54,0.219923
99,0.211076
667,0.213121
14,0.210676
354,0.209193
41,0.211397
1604,0.212419
195,0.209504
654,0.210816
2495,0.453231
27,0.211296
1798,0.211447
8309,0.464082
1080,0.21341
3226,0.453532
2005,0.216386
472,0.211076
6045,0.457309
1427,0.216447
173,0.302378
628,0.210024
1115,0.211347
671,0.210616
71,0.210826
1684,0.214703
432,0.210595
3167,0.452259
3974,0.466265
7673,0.469402
1497,0.21307
2518,0.454574
2062,0.213371
5690,0.462829
2418,0.212318
2385,0.21305
3783,0.467387
3200,0.452309
555,0.215324
1066,0.218961
1269,0.21299
8430,0.468119
948,0.215946
3500,0.456397
238,0.209674
375,0.214954
430,0.209875
351,0.210225
80,0.2074
162,0.209644
71,0.211917
145,0.209523
8,0.209293
270,0.209603
149,0.213821
280,0.209183
491,0.210796
330,0.210456
1058,0.211978
8522,0.46893
195,0.209914
148,0.210956
6695,0.459533
1284,0.220103
720,0.212168
1399,0.210956
2070,0.214082
1171,0.212188
449,0.209143
787,0.217859
1408,0.215735
379,0.210856
15645,0.466025
99,0.208281
255,0.208863
1160,0.215444
262,0.210024
196,0.209203
121,0.209333
89,0.209383
381,0.209964
680,0.212629
2,0.211868
619,0.210996
