allocationlistsize,time
747,0.339397
134,0.125306
37,0.0905
83,0.116769
74,0.121067
101,0.143399
1674,0.425579
37,0.086843
12,0.077606
35,0.084859
35,0.080942
95,0.099657
9,0.066374
39,0.085431
53,0.094848
46,0.089208
179,0.137649
673,0.211167
63,0.09097
127,0.108684
86,0.09064
13,0.072606
34,0.091311
313,0.148299
21,0.072456
120,0.099096
9,0.073057
110,0.101911
13,0.075832
1,0.063059
43,0.09073
1,0.063559
38,0.078267
4,0.071825
1,0.062678
6,0.072215
17,0.069441
20,0.066856
33,0.080681
22,0.073318
24,0.06888
73,0.086543
1273,0.31388
9,0.064942
6,0.069761
117,0.090159
4,0.06391
23,0.07961
15,0.083416
2,0.06372
19,0.072266
8,0.068839
57,0.076694
21,0.071584
2,0.063379
6,0.067217
3,0.064792
17,0.074019
179,0.112481
27,0.082334
421,0.168347
95,0.097593
185,0.11724
340,0.147297
49,0.08518
202,0.126247
77,0.094457
179,0.112561
254,0.139632
41,0.097253
521,0.210435
338,0.187442
1153,0.367781
782,0.268154
2218,0.624864
5295,1.32851
1421,0.430128
9492,2.24962
1481,0.465354
2402,0.656603
1650,0.523273
3008,1.07664
9307,2.2666
5474,1.58361
11649,2.70922
3422,1.21501
11446,2.71084
4668,1.52924
1542,0.514747
873,0.361459
823,0.359576
979,0.400582
148,0.150442
1974,0.632478
1838,0.651453
4375,1.40777
2001,0.605688
2899,1.15056
1635,0.542779
908,0.384092
393,0.23951
872,0.336021
259,0.168486
426,0.220985
406,0.205316
2135,0.528412
1148,0.341702
1224,0.363172
1309,0.397396
3043,1.03801
3443,1.03577
327,0.17057
1132,0.372971
537,0.208111
1335,0.339828
142,0.104937
4264,1.13991
891,0.248787
135,0.121448
2804,0.846009
426,0.211037
24,0.082445
39,0.087755
168,0.108133
56,0.088937
125,0.113343
240,0.167935
312,0.132189
32,0.07965
747,0.242375
245,0.127219
666,0.217789
55,0.092704
425,0.197991
265,0.150794
411,0.189947
1204,0.334738
64,0.095589
4209,1.2481
8301,2.15906
876,0.316965
2469,0.913215
1549,0.512011
513,0.242376
3932,1.26744
980,0.372199
270,0.157976
633,0.287259
1050,0.376838
836,0.309091
73,0.110978
1159,0.430439
568,0.231575
2032,0.60181
3271,1.15375
5233,1.56303
1006,0.398087
1575,0.554452
2345,0.733377
4292,1.31263
1776,0.57998
1392,0.477497
2790,1.02815
2580,0.932702
510,0.251793
766,0.315773
1116,0.390514
5571,1.58387
921,0.353634
2778,1.02773
190,0.158457
483,0.217969
512,0.257173
375,0.190438
69,0.097523
2148,0.490231
13,0.071334
288,0.153909
17,0.076744
126,0.119034
31,0.080992
445,0.214934
353,0.165621
127,0.121267
910,0.32472
5568,1.35111
27,0.084398
117,0.108724
3890,1.07359
1507,0.39945
387,0.190238
525,0.202831
2992,0.874492
670,0.229601
236,0.141897
47,0.086903
1237,0.409709
279,0.130094
9470,2.13109
89,0.103865
431,0.181931
647,0.200707
199,0.137648
84,0.091993
378,0.16521
50,0.082425
1,0.063158
65,0.088847
2163,0.489509
16,0.076854
23,0.074059
8,0.075592
1,0.063569
91,0.087475
315,0.138109
51,0.092473
3,0.06418
10,0.066765
6925,1.60954
132,0.102663
321,0.153598
161,0.113292
240,0.138139
732,0.218651
463,0.207951
430,0.174317
25272,5.7033
2406,0.774314
3249,1.17241
1127,0.391064
1413,0.518704
2107,0.651012
1611,0.520758
287,0.147176
1126,0.425389
611,0.278413
126,0.114806
39,0.079049
1016,0.343144
103,0.112321
231,0.147557
1359,0.450977
5504,1.86422
3133,1.24503
5706,1.76401
2605,1.05754
7413,2.36871
17100,4.57849
1902,0.759055
17522,4.6544
3985,1.42725
4586,1.81422
3089,1.24813
5569,1.77929
3467,1.24249
2473,0.986983
3307,1.16206
2143,0.695967
542,0.280226
1008,0.404379
1135,0.415801
9092,2.10906
1509,0.424077
374,0.205085
307,0.173075
2315,0.605046
21279,4.84916
10836,2.62102
11409,3.14724
5575,1.75833
4561,1.58415
3822,1.38967
2568,1.10124
1987,0.758684
724,0.333626
2129,0.715774
1153,0.477317
2381,0.810092
3543,1.34807
1654,0.634421
867,0.382358
1836,0.680909
3305,1.2755
1980,0.727917
1602,0.653888
2183,0.763734
1305,0.484109
2059,0.742574
2593,1.23961
4973,1.77574
7062,2.16034
5781,1.88266
5185,1.78909
4022,1.61153
3398,1.34148
3151,1.29028
3484,1.39915
2874,1.22837
2689,1.12524
2675,1.08839
1855,0.631646
992,0.434887
815,0.375195
1796,0.703241
1600,0.566905
2063,0.695597
6804,2.04534
19017,4.90686
22570,5.70106
15861,4.45302
15484,4.25479
14566,4.16089
14363,3.94878
15447,4.22755
21447,5.58248
21199,5.70394
27085,6.75892
23233,6.26159
24174,6.2005
20836,5.57801
23891,6.09366
19604,5.32819
21523,5.84264
10704,3.49837
10913,3.39589
12679,3.78634
15799,4.64877
21740,6.01217
13753,4.12862
11385,3.53686
17827,5.0487
9381,3.07345
9196,3.10597
20538,5.69155
9722,3.12233
3911,1.57475
9069,2.77453
7868,2.38515
9325,2.81021
