allocationlistsize,time
656,0.312377
186,0.152968
37,0.086592
170,0.162616
56,0.086413
194,0.173966
2667,0.799672
103,0.11211
22,0.081954
23,0.075743
15,0.076112
31,0.080802
19,0.081583
31,0.087284
17,0.081833
22,0.087134
52,0.088206
1183,0.313318
5,0.073027
21,0.079149
7,0.072746
20,0.07463
8,0.066886
465,0.178956
136,0.117611
4,0.067186
216,0.137338
163,0.119484
32,0.090019
15,0.064622
22,0.079119
55,0.092944
2,0.062507
13,0.070763
9,0.074089
6,0.072626
5,0.066164
4,0.066986
16,0.065684
47,0.077195
11,0.068639
251,0.1227
1216,0.305774
130,0.096161
13,0.067797
14,0.07459
12,0.072496
7,0.070623
5,0.069972
58,0.081182
9,0.07438
1,0.061816
8,0.069661
23,0.066686
2,0.065473
14,0.067978
1,0.06352
2,0.062638
19,0.08025
45,0.087104
9,0.069981
965,0.281459
444,0.200296
56,0.08529
192,0.143459
173,0.11727
232,0.132929
148,0.119765
160,0.113053
153,0.111679
44,0.089488
1209,0.354806
2409,0.619343
1245,0.382608
467,0.182433
2535,0.807627
8677,1.99792
1424,0.407345
10886,2.60069
1618,0.487295
2709,0.948721
2825,0.954653
3016,1.02127
14410,3.21003
8717,2.19262
17444,3.81237
4065,1.32053
1218,0.422072
5601,1.71605
2642,0.887998
1135,0.403538
733,0.320252
1799,0.589567
117,0.153589
2927,1.01266
1320,0.498787
6545,1.80354
2539,0.888398
4058,1.31491
2292,0.675418
1194,0.43628
381,0.203422
1322,0.400071
316,0.164539
562,0.243587
687,0.248066
1836,0.487686
1798,0.502624
2606,0.847292
2161,0.556085
3395,1.00646
2468,0.835489
487,0.195798
955,0.293061
237,0.140293
3182,0.89457
128,0.092003
3012,0.901783
226,0.124173
528,0.193123
4451,1.15587
1227,0.35654
7,0.066685
53,0.081222
133,0.121619
7,0.06903
24,0.082004
195,0.12764
53,0.097834
99,0.104145
667,0.226125
14,0.079109
356,0.166172
40,0.081704
1608,0.416602
194,0.152246
651,0.231294
2493,0.770146
27,0.081824
1796,0.513595
8311,2.11054
1258,0.384563
3244,1.03996
1992,0.581472
472,0.217158
6025,1.64363
1424,0.441279
172,0.244119
648,0.26633
1114,0.392718
667,0.246142
71,0.105197
1696,0.504808
435,0.195578
3163,1.07872
3954,1.26243
7678,2.00766
1509,0.513154
2510,0.919707
2096,0.635774
5675,1.58798
2368,0.668976
2395,0.699845
3747,1.23014
3198,1.06511
561,0.237366
1072,0.370335
1271,0.401814
8432,2.11593
951,0.380003
3485,1.14589
243,0.170781
371,0.196348
433,0.206457
351,0.186962
80,0.091502
163,0.115838
74,0.096972
145,0.121539
9,0.074079
268,0.151685
152,0.112171
281,0.17605
491,0.200847
334,0.156243
1034,0.321664
8524,1.88927
181,0.119184
152,0.123872
6695,1.58428
1287,0.369885
706,0.253246
1397,0.355819
2075,0.485623
1194,0.338776
447,0.171532
794,0.253927
1403,0.446218
372,0.161183
15757,3.25117
95,0.107111
253,0.137007
1159,0.312476
262,0.134202
193,0.128702
121,0.098615
86,0.094908
383,0.173496
680,0.221596
2,0.064351
631,0.207781
2,0.062698
17,0.07462
11,0.06921
30,0.071374
4,0.066435
11,0.067457
5,0.062989
40,0.081323
9279,2.04492
203,0.113794
293,0.153218
226,0.135334
213,0.126518
258,0.1334
570,0.228729
651,0.209764
14725,3.54457
3112,1.06314
4100,1.35777
973,0.321854
1725,0.563047
2233,0.669377
2039,0.603604
299,0.150813
1064,0.399931
545,0.255439
95,0.102653
14,0.06903
2290,0.592823
121,0.107381
176,0.131367
1710,0.508315
7239,2.16961
3503,1.31932
6644,1.93064
3103,1.1378
8465,2.35391
19552,4.96772
2280,0.855557
23052,5.65565
6164,1.905
5003,1.83457
3478,1.3084
6308,1.88679
3759,1.30272
3039,1.03399
3721,1.27227
1943,0.645281
1168,0.389792
1289,0.476455
1049,0.397436
828,0.327515
206,0.185078
153,0.137348
224,0.153498
446,0.225413
14217,3.49979
16635,3.69923
14276,3.63435
6802,2.00686
6198,1.8474
4432,1.48346
3423,1.24222
2680,1.03742
847,0.359435
2504,0.958861
1422,0.536507
2968,1.09309
4485,1.50581
2039,0.702279
1061,0.386946
1753,0.669668
2837,1.13209
2747,1.05137
2358,0.801596
2589,1.06839
1294,0.473048
2373,0.77752
