allocationlistsize,time
747,1.31937
134,0.267151
37,0.095689
83,0.181581
74,0.16492
101,0.219433
1674,2.72401
37,0.09593
12,0.0534
35,0.092032
35,0.091542
95,0.189025
9,0.043382
39,0.099166
53,0.124043
46,0.110187
179,0.342904
673,1.13632
64,0.141516
127,0.248277
86,0.177123
13,0.054893
34,0.093115
313,0.553279
21,0.214673
120,0.233779
9,0.046568
110,0.21858
13,0.053271
1,0.029946
43,0.107051
1,0.029866
38,0.095249
4,0.038002
1,0.030036
6,0.040556
17,0.057948
20,0.061736
33,0.086212
22,0.066204
24,0.068659
73,0.154891
1273,2.15268
9,0.043963
6,0.040366
117,0.224902
4,0.035226
23,0.072676
15,0.06416
2,0.031349
19,0.062177
8,0.043512
57,0.129453
21,0.061486
2,0.030708
6,0.039143
3,0.033052
17,0.05882
179,0.322295
27,0.078808
421,0.723128
95,0.188754
185,0.332665
340,0.572074
49,0.112711
202,0.370596
77,0.157807
179,0.318167
254,0.460084
41,0.109656
522,0.918475
338,0.618632
1153,1.98746
782,1.34776
2218,3.8329
5295,8.90854
1422,2.3905
1481,2.52956
2401,4.05224
1650,2.78649
3003,5.06967
9427,15.609
5474,9.1337
3385,5.80818
11442,15.2763
4669,7.50616
1541,2.62947
873,1.49699
823,1.43954
980,1.68926
150,0.301176
1974,3.32987
1838,2.88285
4378,7.32629
2001,3.38534
2898,4.86236
1635,2.77136
908,1.57213
401,0.716926
872,1.5038
259,0.478088
425,0.747314
407,0.718459
2133,3.59317
1148,1.94037
1224,2.06739
1309,2.23306
3043,5.00765
3445,5.79265
327,0.585128
1132,1.8379
536,0.93717
1335,2.2666
142,0.26628
4264,7.04584
844,1.44771
136,0.266571
2804,4.69085
426,0.753244
24,0.075041
39,0.100329
168,0.310944
56,0.125306
125,0.230352
240,0.452039
314,0.443614
32,0.08504
747,1.27315
245,0.435447
666,1.09744
55,0.124614
425,0.755679
266,0.477416
411,0.729009
1204,2.03184
64,0.141556
4209,6.18326
8301,12.965
876,1.47943
2469,4.20808
1549,2.60101
513,0.900431
3936,6.52867
980,1.68685
271,0.468279
633,1.06515
1051,1.76733
836,1.41505
73,0.15983
1159,1.94972
568,0.929256
2031,3.47106
3271,5.50167
5233,8.7114
1006,1.7315
1575,2.71228
2346,3.96052
4294,7.20077
1774,3.06318
1392,2.37382
2793,4.67536
2582,4.36264
513,0.902024
762,1.31905
1113,1.89838
5569,9.20668
921,1.58757
2774,4.73197
190,0.368401
485,0.85183
512,0.916211
375,0.675388
69,0.151775
2207,2.90717
13,0.051366
288,0.514496
17,0.061065
126,0.25046
31,0.079779
445,0.789302
353,0.62291
127,0.251382
910,1.43722
5570,9.09117
18,0.063449
117,0.230092
3896,6.41941
1505,2.50725
389,0.674126
527,0.915119
2992,4.99819
670,1.14244
236,0.428955
47,0.110758
1240,2.12982
279,0.499498
9470,15.5318
88,0.182562
429,0.755359
647,1.10598
212,0.39404
85,0.178124
378,0.664928
51,0.115818
1,0.028855
65,0.139593
2163,3.55206
16,0.05828
23,0.069541
8,0.046267
1,0.029616
90,0.17555
319,0.503736
51,0.120026
10,0.043081
6923,11.4487
132,0.252685
321,0.54332
161,0.302899
238,0.434526
734,1.09555
463,0.807848
430,0.747294
2406,4.06441
3309,5.41456
1125,1.9399
1412,2.42466
2193,3.72113
1611,2.75414
287,0.513865
1125,1.95171
611,1.0778
126,0.24532
39,0.096692
1015,1.73328
103,0.210044
231,0.424126
1359,2.30767
5501,9.10621
3132,5.29514
5702,9.55464
2600,4.42323
7415,11.7969
1903,3.30094
17506,28.6187
3986,6.70956
4539,7.89768
3181,5.40733
5561,9.41376
3427,5.81281
2461,4.18483
3368,5.72292
2132,3.63416
542,0.961465
980,1.69917
1131,1.95986
9099,12.2192
1510,2.09922
374,0.658387
307,0.552658
2313,3.84731
10833,17.763
11413,18.8125
5576,9.34323
4557,7.66951
3818,6.40939
2566,4.33874
2101,3.61814
759,1.31907
2123,3.65074
1150,1.99898
2377,4.07298
3549,6.00756
1651,2.85969
869,1.52651
1842,3.16892
3315,5.63054
1985,3.42576
1600,2.79397
2179,3.7342
1302,2.26254
2099,3.5904
2598,4.46555
4966,8.46638
7040,11.8983
5785,9.50775
5185,8.60677
4005,6.77384
3394,5.84211
3205,5.47022
3470,5.89479
2871,4.8864
2677,4.74139
2665,4.56149
1855,3.16458
1006,1.7582
866,1.51653
1791,3.09109
1595,2.74994
2054,3.54919
6797,11.4346
15848,26.4918
15616,26.1117
14545,24.3905
14418,24.0534
15388,25.6804
21401,35.8321
21236,35.4135
23199,38.6697
24158,40.1767
21013,35.1272
23869,39.4518
19443,32.656
21502,36.0744
10567,17.8911
11385,19.1317
12649,21.3325
15772,26.4474
22051,36.734
13686,23.1148
11357,19.0419
17723,29.5915
9250,15.6344
9169,15.7219
20578,34.4063
9688,16.3606
3993,6.84067
9152,15.3789
7847,13.1584
9384,15.6695
23497,38.7475
12288,20.2977
5576,9.34118
7217,12.0347
18378,27.0218
5333,8.81833
21098,35.0516
8267,13.6883
7834,13.1056
4455,7.48448
2945,4.85383
1413,2.39501
2522,4.00347
2348,3.90414
7255,11.9372
1258,2.14883
2462,4.13526
2022,3.35549
1707,2.89746
3790,6.37648
5365,8.90966
1488,2.47858
3226,5.43412
1586,2.73884
8093,13.5949
8174,13.5548
1225,2.10598
6390,10.9243
4739,7.89697
7734,12.872
14155,23.5101
4738,8.02607
5738,9.6123
9386,15.8122
6326,10.6691
3596,6.10992
