idx,time
0,0.0279577
1,0.00206616
2,0.00192944
3,0.00190098
4,0.00200473
5,0.00193834
6,0.00175478
7,0.00174603
8,0.00170548
9,0.001673
10,0.00169503
11,0.00168644
12,0.00169057
13,0.00166248
14,0.00169633
15,0.00165061
16,0.00164247
17,0.00165377
18,0.00164553
19,0.00163477
20,0.00164517
21,0.00163537
22,0.00160205
23,0.00163664
24,0.00164043
25,0.00162063
26,0.0016347
27,0.00160261
28,0.0016629
29,0.00160978
30,0.00157631
31,0.00163732
32,0.0015841
33,0.00163416
34,0.00154743
35,0.00161892
36,0.00158768
37,0.00158427
38,0.00159897
39,0.00161589
40,0.00161319
41,0.00154727
42,0.00163092
43,0.00161857
44,0.00162407
45,0.00163599
46,0.00166957
47,0.00159909
48,0.00159209
49,0.00165509
50,0.00155681
51,0.00158889
52,0.00162812
53,0.00161951
54,0.00158051
55,0.00161899
56,0.00162726
57,0.00155913
58,0.00156246
59,0.00162364
60,0.00161606
61,0.00158521
62,0.00159832
63,0.0015828
64,0.00160829
65,0.00163227
66,0.00164193
67,0.00165758
68,0.00163953
69,0.00164972
70,0.00163685
71,0.00164208
72,0.00164767
73,0.00163301
74,0.00164126
75,0.00166346
76,0.00165832
77,0.00167384
78,0.00168057
79,0.00172373
80,0.00167858
81,0.00177595
82,0.0019142
83,0.00172921
84,0.00197322
85,0.00175604
86,0.00177372
87,0.00178361
88,0.00200591
89,0.00198181
90,0.00198621
91,0.00198273
92,0.00198934
93,0.00197842
94,0.00198806
95,0.00173711
96,0.00174717
97,0.00172959
98,0.00175967
99,0.00169279
100,0.00174729
101,0.00175112
102,0.00198073
103,0.00176709
104,0.00197181
105,0.0017831
106,0.00177943
107,0.0017211
108,0.00174533
109,0.00168955
110,0.00170487
111,0.00173707
112,0.00171675
113,0.00169968
114,0.0017119
115,0.0017337
116,0.00205295
117,0.00198013
118,0.00168188
119,0.00173854
120,0.00166687
121,0.00164384
122,0.00163523
123,0.00193192
124,0.00161113
125,0.00162819
126,0.0018667
127,0.0016775
128,0.00163651
129,0.00161125
130,0.0016161
131,0.00160088
132,0.00161201
133,0.00164721
134,0.00158765
135,0.00160797
136,0.00160718
137,0.00158009
138,0.00159561
139,0.00158029
140,0.00160947
141,0.00160962
142,0.00163626
143,0.00162479
144,0.00157953
145,0.00192367
146,0.00193211
147,0.00165823
148,0.00193564
149,0.00171788
150,0.00164958
151,0.00193513
152,0.00169236
153,0.00159484
154,0.00170289
155,0.00168062
156,0.0016439
157,0.00158615
158,0.00170055
159,0.00161779
160,0.00175317
161,0.0019098
162,0.00192775
163,0.00171545
164,0.00171081
165,0.00172629
166,0.00192697
167,0.00172188
168,0.00171678
169,0.00191552
170,0.00195338
171,0.00166411
172,0.00169605
173,0.00172122
174,0.00193515
175,0.00170349
176,0.00194107
177,0.00163906
178,0.00161838
179,0.00169801
180,0.00162177
181,0.00157795
182,0.00158132
183,0.00153888
184,0.00159691
185,0.00155862
186,0.00158391
187,0.00154829
