idx,time
0,0.0281103
1,0.00179623
2,0.00168585
3,0.00167976
4,0.00171326
5,0.00165186
6,0.00171918
7,0.00191139
8,0.00147389
9,0.00144808
10,0.0014542
11,0.00143584
12,0.00145909
13,0.00144405
14,0.00146018
15,0.00142699
16,0.00144665
17,0.00148141
18,0.00147147
19,0.0014112
20,0.00143981
21,0.00141481
22,0.00143383
23,0.00140964
24,0.00149591
25,0.00147631
26,0.00140719
27,0.00147811
28,0.00146143
29,0.00146762
30,0.0014303
31,0.00147034
32,0.00149694
33,0.00136702
34,0.00140182
35,0.00137593
36,0.00142554
37,0.00142575
38,0.00141342
39,0.00142132
40,0.00140551
41,0.00143815
42,0.00137775
43,0.00145429
44,0.00142781
45,0.00149279
46,0.00145703
47,0.00145181
48,0.00142268
49,0.00143036
50,0.0014238
51,0.00141617
52,0.0014135
53,0.00145469
54,0.00145882
55,0.00145299
56,0.00142091
57,0.00144305
58,0.00141041
59,0.00142724
60,0.00140114
61,0.00137167
62,0.00142437
63,0.0013742
64,0.00144658
65,0.00145698
66,0.00141797
67,0.00149502
68,0.00150025
69,0.00145044
70,0.00153249
71,0.00146412
72,0.00147183
73,0.00147221
74,0.00146912
75,0.00146601
76,0.00146803
77,0.00154252
78,0.00156534
79,0.00153615
80,0.00148796
81,0.00174709
82,0.00179524
83,0.0015303
84,0.0019011
85,0.00157962
86,0.00179176
87,0.00179673
88,0.00179881
89,0.00181069
90,0.00183728
91,0.00181794
92,0.00180913
93,0.00158396
94,0.00180329
95,0.00178911
96,0.00158273
97,0.00158461
98,0.00158684
99,0.00149095
100,0.00179066
101,0.00158945
102,0.00180828
103,0.00179415
104,0.00183922
105,0.00160168
106,0.00159641
107,0.00152239
108,0.00154577
109,0.00149189
110,0.0015294
111,0.00152163
112,0.00153397
113,0.001558
114,0.00177216
115,0.00155736
116,0.00182876
117,0.0018126
118,0.00149342
119,0.00150219
120,0.00147578
121,0.00169979
122,0.00143883
123,0.00173446
124,0.00146556
125,0.00146334
126,0.00172152
127,0.0014993
128,0.00139192
129,0.00143231
130,0.00146068
131,0.00142574
132,0.0014324
133,0.00146027
134,0.0014538
135,0.00145666
136,0.00147539
137,0.00141459
138,0.00148566
139,0.00143339
140,0.00148553
141,0.00148037
142,0.00148314
143,0.00169136
144,0.00144626
145,0.00157395
146,0.00179269
147,0.00152031
148,0.00178682
149,0.00158146
150,0.00150341
151,0.00181749
152,0.0015547
153,0.00157883
154,0.00151955
155,0.00156108
156,0.00148896
157,0.00145718
158,0.00157815
159,0.00147722
160,0.00179101
161,0.00179941
162,0.00179996
163,0.00157972
164,0.00179484
165,0.00158838
166,0.00180392
167,0.00158315
168,0.00158424
169,0.00180039
170,0.00179267
171,0.00150398
172,0.00155882
173,0.00156395
174,0.00183782
175,0.00161517
176,0.00182884
177,0.00154359
178,0.00152274
179,0.00153172
180,0.00152112
181,0.00143165
182,0.00145781
183,0.0016171
184,0.00147349
185,0.00139781
186,0.00148032
187,0.00144786
188,0.00148789
189,0.00146959
190,0.00146387
191,0.00148841
192,0.00169911
193,0.00143934
194,0.00144462
195,0.0017137
196,0.00147157
197,0.00146944
198,0.00144071
199,0.00143677
200,0.00146934
201,0.00143012
202,0.00146125
203,0.00155072
204,0.00144253
205,0.00172485
206,0.00148419
207,0.00144435
208,0.00145698
209,0.00142658
210,0.00144923
211,0.00142454
212,0.00142988
213,0.00135244
214,0.00143978
215,0.00144611
216,0.001371
217,0.00143245
218,0.00136019
219,0.00140764
220,0.00137745
221,0.00140422
222,0.00136232
223,0.00133533
224,0.00137283
225,0.00135499
226,0.00140874
227,0.00167849
228,0.00139909
229,0.00141804
230,0.00141418
231,0.00140697
232,0.00140837
233,0.00144879
234,0.00140783
235,0.00176262
236,0.00175202
237,0.00178372
238,0.00148606
239,0.00156422
240,0.00155497
241,0.00153765
242,0.00142544
243,0.00154077
244,0.00148401
245,0.00139149
246,0.00139585
247,0.00151527
248,0.00141953
249,0.00144005
250,0.00159055
251,0.00180091
252,0.00182182
253,0.00182047
254,0.00181872
255,0.00183375
256,0.00185256
257,0.0016193
258,0.00186081
259,0.00184744
260,0.00186425
261,0.00186891
262,0.00184938
263,0.00184484
264,0.00183078
265,0.00183705
266,0.00160801
267,0.00156987
268,0.00158745
269,0.00159781
270,0.00156611
271,0.00153188
272,0.00149647
273,0.00148815
274,0.00152363
275,0.00193998
276,0.00180099
277,0.00185075
278,0.0018371
279,0.00187173
280,0.00187492
281,0.00186699
282,0.00186925
283,0.00164741
284,0.00187211
285,0.00167151
286,0.00190117
287,0.00189375
288,0.00166386
289,0.00167803
290,0.00167541
291,0.00187812
292,0.00165796
293,0.00167479
294,0.00188902
295,0.00167684
296,0.00168418
297,0.00190754
298,0.00193222
299,0.00195292
300,0.0019533
301,0.00199093
302,0.0020326
303,0.00208004
304,0.0020538
305,0.00206865
306,0.00210001
307,0.00211012
308,0.00216008
309,0.00184442
310,0.00182509
311,0.00183515
312,0.00183433
313,0.00184008
314,0.00184847
315,0.00206747
316,0.00211599
317,0.00211041
318,0.00212534
319,0.00210348
320,0.00215477
321,0.00212361
322,0.00203603
323,0.00216046
324,0.00257406
325,0.0028746
326,0.00279717
327,0.00290747
328,0.00290981
329,0.00294202
330,0.00274673
331,0.00297725
332,0.00287489
333,0.00289898
334,0.00268587
335,0.00283568
336,0.00271508
337,0.00267527
338,0.00281557
339,0.00305309
340,0.00280841
341,0.00279742
342,0.00277785
343,0.00291979
344,0.00276604
345,0.0168696
346,0.0025247
347,0.00256403
348,0.00248313
349,0.00249565
350,0.00247446
351,0.00257624
352,0.00249986
353,0.00251356
354,0.00252682
355,0.00264728
356,0.0026885
357,0.00239724
358,0.002553
359,0.00215966
360,0.00257186
361,0.00219428
362,0.00233623
363,0.00240626
364,0.00238033
365,0.00217824
366,0.00214473
367,0.00232321
368,0.00231824
369,0.00220289
370,0.00233936
371,0.00220166
372,0.00252043
373,0.00230419
374,0.0020498
375,0.00237322
376,0.00234401
377,0.00238435
378,0.00239044
379,0.00237684
380,0.00243847
381,0.0024351
382,0.00238655
383,0.00256074
384,0.00249164
385,0.00243393
386,0.00262594
387,0.00239851
388,0.00249467
389,0.00246968
390,0.00254218
391,0.00270084
392,0.00281852
393,0.00261916
394,0.0028518
395,0.0025937
396,0.00267618
397,0.00266045
398,0.00278669
399,0.00274483
400,0.00268136
401,0.00267944
402,0.00287981
403,0.00278966
404,0.00260396
405,0.00246803
406,0.00261674
407,0.00267051
408,0.00237739
409,0.00240526
410,0.00261745
411,0.00237987
412,0.00227233
413,0.00251741
414,0.00269954
415,0.0025107
416,0.00250421
417,0.00256935
418,0.00258937
419,0.00264627
420,0.00254976
421,0.00229401
422,0.00260101
423,0.00237333
424,0.00239943
425,0.00259799
426,0.002381
427,0.00256543
428,0.00260737
429,0.00278863
430,0.00279123
431,0.00259435
432,0.00268768
433,0.0027484
434,0.00301683
435,0.0029587
436,0.0029207
437,0.00290341
438,0.00287766
439,0.00289991
440,0.00287433
441,0.00296625
442,0.00317547
443,0.00300993
444,0.0030873
445,0.00291754
446,0.00333886
447,0.00325003
448,0.00317487
449,0.00316857
450,0.00322821
451,0.00342355
452,0.0035507
453,0.00341044
454,0.00345243
455,0.0035206
456,0.00358384
457,0.00351134
458,0.00362417
459,0.00378336
460,0.00377807
461,0.00388298
462,0.00376799
463,0.00378945
464,0.0038189
465,0.0036289
466,0.00372491
467,0.0037833
468,0.0035823
469,0.00358117
470,0.00364201
471,0.00360125
472,0.00353145
473,0.0036283
474,0.00340123
475,0.00330064
476,0.00316947
477,0.00321002
478,0.00357071
479,0.0030698
480,0.00353326
481,0.00335146
482,0.00327906
483,0.0033932
484,0.0034453
485,0.00328603
486,0.00318751
487,0.00321645
488,0.0031516
489,0.00321611
490,0.00319365
491,0.00326786
492,0.00316544
493,0.00306915
494,0.0031845
495,0.00316355
496,0.00324928
497,0.00320508
498,0.00322948
499,0.00320283
500,0.00305742
501,0.0029853
502,0.00328875
503,0.00303973
504,0.0028871
505,0.00314545
506,0.0030128
507,0.00316091
508,0.00314912
509,0.00324428
510,0.0030893
511,0.016552
512,0.00290987
513,0.00310898
514,0.00321574
515,0.00299584
516,0.00296802
517,0.00319651
518,0.0029957
519,0.00306638
520,0.00304978
521,0.0030085
522,0.00303697
523,0.00302016
524,0.00300489
525,0.00290156
526,0.00307586
527,0.0028532
528,0.00287638
529,0.00278523
530,0.0029282
531,0.00295323
532,0.00306405
533,0.00294666
534,0.00302209
535,0.00282232
536,0.00279005
537,0.00281315
538,0.00302099
539,0.00277659
540,0.00283634
541,0.00285086
542,0.00281551
543,0.00280637
544,0.00313414
545,0.00291387
546,0.002942
547,0.00291946
548,0.00327407
549,0.00294804
550,0.00289046
551,0.00283065
552,0.00290266
553,0.00280858
554,0.00273579
555,0.00268464
556,0.00275873
557,0.00273241
558,0.00270071
559,0.00275572
560,0.00272451
561,0.00287816
562,0.00265705
563,0.00262415
564,0.00257442
565,0.00254846
566,0.00254286
567,0.00252513
568,0.00249491
569,0.0024816
570,0.00252745
571,0.00247955
572,0.00248881
573,0.00256157
574,0.00254458
575,0.00256198
576,0.00257831
577,0.00262705
578,0.00280872
579,0.00281416
580,0.00286283
581,0.00285393
582,0.00283689
583,0.00298515
584,0.00311412
585,0.00290777
586,0.0028537
587,0.00286932
588,0.00292501
589,0.00293727
590,0.00334658
591,0.00301423
592,0.00335108
593,0.00298878
594,0.00310518
595,0.00329655
596,0.00317565
597,0.00310804
598,0.00325316
599,0.00295343
600,0.00288733
601,0.00321236
602,0.00327697
603,0.00289239
604,0.00264313
605,0.00315268
606,0.00274321
607,0.00287473
608,0.00263534
609,0.00283488
610,0.00281809
611,0.00277075
612,0.00275667
613,0.00279425
614,0.00251712
615,0.00276312
616,0.00256014
617,0.00263578
618,0.0025436
619,0.00242811
620,0.00247644
621,0.0025687
622,0.00254412
623,0.00275276
624,0.00259188
625,0.002793
626,0.0025379
627,0.00255304
628,0.00265062
629,0.00243726
630,0.0027428
631,0.00261582
632,0.00242053
633,0.00240926
634,0.00270461
635,0.00271549
636,0.00268081
637,0.0026145
638,0.00264533
639,0.00282881
640,0.00249514
641,0.00272609
642,0.0024163
643,0.0026148
644,0.00244188
645,0.00262866
646,0.00246386
647,0.00241447
648,0.00256007
649,0.00266309
650,0.00253106
651,0.00230016
652,0.00242834
653,0.00241644
654,0.00243889
655,0.00229848
656,0.00231478
657,0.00234628
658,0.00228569
659,0.00227258
660,0.00225866
661,0.00214115
662,0.00226188
663,0.0021985
664,0.00211487
665,0.00210243
666,0.00207421
667,0.00205521
668,0.00206942
669,0.0020946
670,0.00205327
671,0.00204909
672,0.0020462
673,0.00209114
674,0.00203976
675,0.00209827
676,0.00211182
677,0.00213114
678,0.00209339
679,0.00207514
680,0.00205421
681,0.00205762
682,0.00209489
683,0.00209982
684,0.00208606
685,0.00210179
686,0.00207044
687,0.00205194
688,0.00210466
689,0.00205551
690,0.00210319
691,0.00205651
692,0.00205165
693,0.0020987
694,0.00203753
695,0.00206083
696,0.00203398
697,0.00202467
698,0.0020402
699,0.00206499
700,0.00210605
701,0.00202436
702,0.00204205
703,0.00206553
704,0.00202217
705,0.00206387
706,0.00202863
707,0.00202602
708,0.00209499
709,0.0021036
710,0.00205788
711,0.00202893
712,0.0020864
713,0.00205001
714,0.00202124
715,0.00242947
716,0.0021323
717,0.00219515
718,0.00214772
719,0.00216208
720,0.00211489
721,0.00213952
722,0.00212593
723,0.00216298
724,0.00221915
725,0.00222312
726,0.00232933
727,0.00237483
728,0.00232738
729,0.00239358
730,0.00258776
731,0.00238016
732,0.0026885
733,0.00240682
734,0.00239654
735,0.00237424
736,0.0024137
737,0.00242325
738,0.00240207
739,0.00239881
740,0.00243028
741,0.00266769
742,0.00244752
743,0.00247627
744,0.00249036
745,0.00239466
746,0.00244997
747,0.00237291
748,0.00239619
749,0.00232168
750,0.00237505
751,0.00236145
752,0.00232976
753,0.00239689
754,0.0023186
755,0.00232341
756,0.00231257
757,0.00232004
758,0.0022125
759,0.00220238
760,0.00221237
761,0.00215699
762,0.00216317
763,0.00222724
764,0.00223308
765,0.00218715
766,0.00224764
767,0.00216863
768,0.0021535
769,0.00223958
770,0.00217537
771,0.00221602
772,0.00226967
773,0.00222193
774,0.00220304
775,0.00231554
776,0.00231089
777,0.00248497
778,0.0024824
779,0.00223607
780,0.00216876
781,0.00215639
782,0.00213447
783,0.00210392
784,0.00213159
785,0.00215567
786,0.00211639
787,0.00216405
788,0.00211024
789,0.00211937
790,0.00207765
791,0.00210137
792,0.00210591
793,0.00209122
794,0.0021157
795,0.00211732
796,0.00205159
797,0.00209633
798,0.00213223
799,0.00207434
800,0.0020958
801,0.00211696
802,0.00209251
803,0.00213776
804,0.00209661
805,0.00205714
806,0.00203926
807,0.00206835
808,0.00209158
809,0.00206163
810,0.00207159
811,0.00207276
812,0.00206883
813,0.00203812
814,0.0020578
815,0.00203937
816,0.00210565
817,0.00210463
818,0.0020597
819,0.00206394
820,0.00206849
821,0.00202287
822,0.00205304
823,0.00210984
824,0.00211506
825,0.00202095
826,0.00202768
827,0.00206769
828,0.00208469
829,0.00202159
830,0.002088
831,0.00207714
832,0.0020915
833,0.00200752
834,0.00199937
835,0.00207534
836,0.0020079
837,0.00199797
838,0.00199724
839,0.0020527
840,0.00199123
841,0.00206336
842,0.00198694
843,0.00202776
844,0.00202349
845,0.00196898
846,0.00203248
847,0.00199445
848,0.00202669
849,0.00199593
850,0.00208175
851,0.00200728
852,0.0020729
853,0.0019318
854,0.00190433
855,0.00193827
856,0.00201591
857,0.00195443
858,0.00191015
859,0.00201485
860,0.00191275
861,0.00192987
862,0.0019477
863,0.00195747
864,0.00187624
865,0.0019111
866,0.00188487
867,0.0018839
868,0.00185824
869,0.00188524
870,0.0018348
871,0.00186393
872,0.00183394
873,0.00180963
874,0.00187934
875,0.00181246
876,0.00182451
877,0.00181505
878,0.00179788
879,0.00180891
880,0.00177205
881,0.00177667
882,0.00182661
883,0.00179873
884,0.00176344
885,0.001732
886,0.00172745
887,0.00181499
888,0.00175834
889,0.0017861
890,0.00176718
891,0.00172148
892,0.00166983
893,0.00169527
894,0.00166202
895,0.00170476
896,0.00176675
897,0.00160488
898,0.00167945
899,0.00159431
900,0.00164503
901,0.00162039
902,0.00164434
903,0.00163323
904,0.0015663
905,0.0015529
906,0.00155964
907,0.0015052
908,0.00158469
909,0.0014876
910,0.00152844
911,0.00169037
912,0.0015382
913,0.00156185
914,0.00152221
915,0.00149548
916,0.00155838
917,0.00152219
918,0.00148748
919,0.00148802
920,0.0015182
921,0.00147379
922,0.00148932
923,0.00149755
924,0.00153276
925,0.00148845
926,0.00148843
927,0.00151534
928,0.00154584
929,0.00155873
930,0.00155455
931,0.00148754
932,0.00153582
933,0.00153666
934,0.00148398
935,0.00154291
936,0.00157487
937,0.00152343
938,0.00187023
939,0.00186326
940,0.00157816
941,0.00160523
942,0.00159289
943,0.00159387
944,0.00160606
945,0.00158802
946,0.00165077
947,0.00163024
948,0.00159235
949,0.00160272
950,0.00188768
951,0.00165212
952,0.00171637
953,0.00169549
954,0.00173918
955,0.00174125
956,0.00175726
957,0.00179479
958,0.00178157
959,0.0019646
960,0.00177528
961,0.00176702
962,0.0017182
963,0.00171172
964,0.00175027
965,0.00172592
966,0.00172645
967,0.0019644
968,0.00171344
969,0.00166277
970,0.0017703
971,0.00188336
972,0.00178018
973,0.00226333
974,0.00204036
975,0.00193379
976,0.00187339
977,0.00188975
978,0.00187572
979,0.00203324
980,0.0019311
981,0.00226472
982,0.0019555
983,0.00180254
984,0.00227225
985,0.00206675
986,0.00205938
987,0.00252372
988,0.00243192
989,0.0022472
990,0.00221541
991,0.00242412
992,0.00221307
993,0.00228617
994,0.00219983
995,0.00228899
996,0.00258932
997,0.00250724
998,0.00216343
999,0.00252938
1000,0.0023129
1001,0.00252155
1002,0.00239135
1003,0.00247656
1004,0.00254724
1005,0.00257264
1006,0.00286336
1007,0.00260423
1008,0.00262031
1009,0.00258246
1010,0.00301578
1011,0.00269024
1012,0.00308724
1013,0.00310106
1014,0.00282236
1015,0.00277509
1016,0.00308617
1017,0.00275515
1018,0.0030395
1019,0.00293611
1020,0.00297529
1021,0.00316462
1022,0.00280982
1023,0.00282265
1024,0.00275256
1025,0.00281956
1026,0.00269756
1027,0.00256437
1028,0.00255682
1029,0.00263099
1030,0.0027744
1031,0.00250488
1032,0.00238767
1033,0.00223498
1034,0.0023333
1035,0.00208308
1036,0.00217791
1037,0.00231792
1038,0.00217147
1039,0.00215845
1040,0.00212378
1041,0.00215986
1042,0.00212012
1043,0.00245027
1044,0.0024578
1045,0.0021546
1046,0.00234867
1047,0.00238008
1048,0.00216946
1049,0.00253724
1050,0.0022461
1051,0.00228858
1052,0.00247987
1053,0.00228108
1054,0.0024939
1055,0.00245328
1056,0.00220305
1057,0.00258341
1058,0.00233274
1059,0.00211272
1060,0.00207443
1061,0.00213669
1062,0.00210927
1063,0.00210678
1064,0.00206325
1065,0.0020906
1066,0.00202116
1067,0.00208145
1068,0.0021166
1069,0.00205524
1070,0.00210923
1071,0.00213623
1072,0.00209168
1073,0.00209043
1074,0.00209256
1075,0.00200588
1076,0.00202793
1077,0.00217369
1078,0.00206828
1079,0.00211671
1080,0.00203788
1081,0.0022128
1082,0.00203095
1083,0.00234576
1084,0.00247823
1085,0.00216039
1086,0.00236265
1087,0.00242032
1088,0.00244574
1089,0.00246649
1090,0.00237981
1091,0.00225166
1092,0.00239084
1093,0.00226758
1094,0.00215612
1095,0.00234689
1096,0.00255582
1097,0.00233677
1098,0.00256244
1099,0.00231172
1100,0.00261763
1101,0.00253863
1102,0.00234777
1103,0.00241575
1104,0.00232869
1105,0.00234747
1106,0.00237963
1107,0.00239007
1108,0.00283633
1109,0.00253543
1110,0.0026301
1111,0.00246514
1112,0.00245462
1113,0.00253151
1114,0.00245049
1115,0.00244594
1116,0.00287283
1117,0.0025265
1118,0.00261899
1119,0.00265939
1120,0.00279771
1121,0.00270628
1122,0.00266631
1123,0.00287014
1124,0.00268205
1125,0.00275231
1126,0.00267011
1127,0.00264819
1128,0.0025539
1129,0.00263071
1130,0.00265593
1131,0.00278721
1132,0.00267307
1133,0.00265297
1134,0.00263641
1135,0.00270563
