idx,time
0,0.108434
1,0.00278967
2,0.00246344
3,0.00184561
4,0.00234276
5,0.00190779
6,0.00252402
7,0.00209604
8,0.00183504
9,0.00189226
10,0.00199127
11,0.00190183
12,0.00233415
13,0.00183193
14,0.00243863
15,0.00240676
16,0.00186054
17,0.00183962
18,0.00186607
19,0.00183282
20,0.00184929
21,0.00190797
22,0.00187262
23,0.00193928
24,0.00194735
25,0.00189085
26,0.00185522
27,0.00188812
28,0.00203638
29,0.00187866
30,0.00184002
31,0.00259548
32,0.00185089
33,0.0019123
34,0.00171723
35,0.00172484
36,0.0019933
37,0.00184171
38,0.00190227
39,0.00192813
40,0.00183555
41,0.00172048
42,0.00189343
43,0.00187377
44,0.00233792
45,0.00254623
46,0.00194135
47,0.00186235
48,0.0018763
49,0.00187174
50,0.00171764
51,0.00185294
52,0.00254494
53,0.00266496
54,0.00184769
55,0.00187641
56,0.00237397
57,0.00186959
58,0.0017436
59,0.00187028
60,0.00194042
61,0.0018962
62,0.00186374
63,0.00186941
64,0.00188393
65,0.00194212
66,0.0019896
67,0.00208034
68,0.00193864
69,0.00251699
70,0.00241663
71,0.00241387
72,0.00192157
73,0.00191537
74,0.00254232
75,0.0019268
76,0.00204237
77,0.00190373
78,0.0019074
79,0.00200096
80,0.00193315
81,0.00202242
82,0.00210155
83,0.0019981
84,0.00222173
85,0.00196381
86,0.00298959
87,0.00326017
88,0.00303517
89,0.00346435
90,0.00393917
91,0.00292536
92,0.00284916
93,0.00237992
94,0.0020943
95,0.00198175
96,0.00202466
97,0.00194599
98,0.00191374
99,0.00193454
100,0.00201858
101,0.00207238
102,0.00287531
103,0.00333485
104,0.00261616
105,0.00252754
106,0.00251288
107,0.0028518
108,0.00206433
109,0.00207785
110,0.00265693
111,0.00262415
112,0.00209352
113,0.00206431
114,0.00307214
115,0.00201631
116,0.00228409
117,0.00212343
118,0.00200802
119,0.00204931
120,0.0019912
121,0.00201977
122,0.00197694
123,0.00218796
124,0.00201286
125,0.00199859
126,0.00290445
127,0.00256453
128,0.00206252
129,0.00209348
130,0.00202664
131,0.00207367
132,0.00302848
133,0.00243088
134,0.00217885
135,0.00203867
136,0.00234917
137,0.00209039
138,0.00251336
139,0.00252904
140,0.00353963
141,0.00253984
142,0.00264472
143,0.00204413
144,0.00331197
145,0.00211919
146,0.00247703
147,0.00198621
148,0.00204899
149,0.0020571
150,0.00205846
151,0.0021655
152,0.00212248
153,0.00203987
154,0.00293022
155,0.00263004
156,0.00262366
157,0.00331523
158,0.00263393
159,0.00265878
160,0.00266787
161,0.00277116
162,0.00363816
163,0.00211613
164,0.00219384
165,0.0021022
166,0.00227186
167,0.00205654
168,0.00204689
169,0.00219832
170,0.00222947
171,0.00284506
172,0.00254387
173,0.00254362
174,0.00289552
175,0.00265019
176,0.00297746
177,0.00245245
178,0.00251659
179,0.00252721
180,0.00210925
181,0.00207658
182,0.00325154
183,0.00204029
184,0.00220653
185,0.00203573
186,0.0021786
187,0.00197215
188,0.00197491
189,0.00194258
190,0.00201131
191,0.00207044
192,0.00299328
193,0.00249516
194,0.00201243
195,0.00273878
196,0.00208505
197,0.0020094
198,0.0024732
199,0.00209831
200,0.00204517
201,0.00276532
202,0.001983
203,0.00214295
204,0.00199067
205,0.00291384
206,0.00204429
207,0.00242276
208,0.00204093
209,0.00200461
210,0.00193113
211,0.00272553
212,0.00203158
213,0.00185822
214,0.00200651
215,0.002783
216,0.00253274
217,0.00202154
218,0.00211893
219,0.00193754
220,0.00179038
221,0.0018511
222,0.00197443
223,0.0020464
224,0.00204288
225,0.00177386
226,0.00190166
227,0.00232369
228,0.00289777
229,0.00248221
230,0.00204004
231,0.00219872
232,0.00281661
233,0.00245775
234,0.00253435
235,0.0045082
236,0.00337625
237,0.00307137
238,0.00312571
239,0.00334608
240,0.00246672
241,0.00229994
242,0.00216329
243,0.00237887
244,0.00219206
245,0.00224974
246,0.00235948
247,0.00239676
248,0.00240344
249,0.00297177
250,0.0027175
251,0.00440875
