sequence,tracking,integration,raycasting,other
liv_traj_1,0.0058421673,0.0249103805,0.0331823356,0.00013195989999999214
liv_traj_2,0.0056809373,0.0221990851,0.0323011404,0.00013185419999999642
fr1_desk,1.843e-07,0.0146950508,0.0318911548,0.00012147360000000496
fr1_room,1.953e-07,0.0195248274,0.0330899583,0.00012539640000000518
fr1_plant,1.884e-07,0.0264531279,0.0375027808,0.00011619719999999417
fr3_long_office,0.0087753462,0.0287367691,0.02930923,0.00012814190000000683
