sequence,tracking,integration,raycasting,other
liv_traj_1,0.0057477056,0.0011966755,0.0042313175,0.00011224279999999965
liv_traj_2,0.0055943765,0.0010698398,0.0038919887,0.00011040890000000051
fr1_desk,1.366e-07,0.0008129028,0.0036935051,8.25972000000003e-05
fr1_room,1.616e-07,0.0009528922,0.004099104,8.162720000000085e-05
fr1_plant,1.587e-07,0.0011220786,0.0046024862,8.36693999999999e-05
fr3_long_office,0.0088806641,0.0011100329,0.003787898,0.00011163930000000028
