sequence,tracking,integration,raycasting,other
liv_traj_1,0.0058040131,0.0357044232,0.078634798,0.00014137209999998124
liv_traj_2,0.0056208076,0.0330912142,0.081589429,0.0001317889999999794
fr1_desk,1.948e-07,0.0167542259,0.0837513628,0.00012211999999998946
fr1_room,1.961e-07,0.0245002886,0.0853129802,0.00013410120000000025
fr1_plant,2.024e-07,0.0372001239,0.1163991765,0.0001195166999999886
fr3_long_office,0.0079095903,0.0379950946,0.0664554297,0.00012815489999999652
