sequence,tracking,integration,raycasting,other
liv_traj_1,0.0058805151,0.0012751587,0.0067136119,0.00011844880000000044
liv_traj_2,0.0057651074,0.0011117402,0.0066563337,0.00011528479999999876
fr1_desk,1.603e-07,0.0007964995,0.0060329138,9.953970000000072e-05
fr1_room,1.591e-07,0.0009368895,0.0069236772,8.96793000000019e-05
fr1_plant,1.731e-07,0.0011238743,0.0089908451,0.00010634569999999795
fr3_long_office,0.0081372847,0.0010705279,0.005436747,0.00010782509999999936
