sequence,tracking,integration,raycasting,other
liv_traj_1,0.0104589939,0.054574636,0.0622292575,0.00012690619999998487
liv_traj_2,0.0101091774,0.0449404282,0.0564259583,0.00012791899999999023
fr1_desk,1.907e-07,0.0181424255,0.0576260549,9.795919999999736e-05
fr1_room,2.032e-07,0.0223620475,0.0624996727,9.520279999999243e-05
fr1_plant,1.838e-07,0.0394008409,0.0715351203,9.583790000000647e-05
fr3_long_office,0.0164558702,0.0471057428,0.0561172924,0.00012761010000000156
