sequence,tracking,integration,raycasting,other
liv_traj_1,0.0070958217,0.0090430621,0.0082166742,0.00012064109999999732
liv_traj_2,0.0065038434,0.0051468425,0.0080364215,0.00011278769999999855
fr1_desk,1.695e-07,0.0023862932,0.0081446683,9.689790000000018e-05
fr1_room,1.63e-07,0.0030221883,0.0091190083,0.0001300614000000009
fr1_plant,1.658e-07,0.0061269752,0.0116715646,0.00011919570000000143
fr3_long_office,0.0088532776,0.0052637377,0.0070708236,0.00010356780000000086
