sequence,tracking,integration,raycasting,other
liv_traj_1,0.00676559,0.0061422047,0.0047229402,0.00012469710000000134
liv_traj_2,0.0061825955,0.0046161535,0.0044073112,0.0001145915000000013
fr1_desk,1.63e-07,0.0020684795,0.0045738267,8.388829999999951e-05
fr1_room,1.733e-07,0.0025581314,0.0049083882,8.952240000000087e-05
fr1_plant,1.655e-07,0.0034230183,0.0055238572,8.834149999999933e-05
fr3_long_office,0.00889902,0.0033307222,0.0044752069,0.0001199624000000005
